id,tax_id/id,account_id/id,tag_ids/id
tax_repartition_line_5002,marin_data.tax_1001_dsa_5_0_601_lmmr,marin_data.account_601_52_001,
tax_repartition_line_5004,marin_data.tax_1001_dsa_5_0_601_lmmr,marin_data.account_601_52_001,
tax_repartition_line_5006,marin_data.tax_1002_dsa_5_0_602_lmmr,marin_data.account_602_52_001,
tax_repartition_line_5008,marin_data.tax_1002_dsa_5_0_602_lmmr,marin_data.account_602_52_001,
tax_repartition_line_5010,marin_data.tax_1003_ieps_26_5_601_lmmr,marin_data.account_601_15_001,
tax_repartition_line_5012,marin_data.tax_1003_ieps_26_5_601_lmmr,marin_data.account_601_15_001,
tax_repartition_line_5014,marin_data.tax_1004_ieps_26_5_602_lmmr,marin_data.account_602_61_001,
tax_repartition_line_5016,marin_data.tax_1004_ieps_26_5_602_lmmr,marin_data.account_602_61_001,
tax_repartition_line_5018,marin_data.tax_1005_ieps_3_0_telecom_601_lmmr,marin_data.account_601_50_001,
tax_repartition_line_5020,marin_data.tax_1005_ieps_3_0_telecom_601_lmmr,marin_data.account_601_50_001,
tax_repartition_line_5022,marin_data.tax_1006_ieps_3_0_telecom_602_lmmr,marin_data.account_602_50_001,
tax_repartition_line_5024,marin_data.tax_1006_ieps_3_0_telecom_602_lmmr,marin_data.account_602_50_001,
tax_repartition_line_5026,marin_data.tax_1007_ieps_53_0_601_lmmr,marin_data.account_601_15_001,
tax_repartition_line_5028,marin_data.tax_1007_ieps_53_0_601_lmmr,marin_data.account_601_15_001,
tax_repartition_line_5030,marin_data.tax_1008_ieps_53_0_602_lmmr,marin_data.account_602_61_001,
tax_repartition_line_5032,marin_data.tax_1008_ieps_53_0_602_lmmr,marin_data.account_602_61_001,
tax_repartition_line_5034,marin_data.tax_1009_ieps_8_0_601_lmmr,marin_data.account_601_15_001,
tax_repartition_line_5036,marin_data.tax_1009_ieps_8_0_601_lmmr,marin_data.account_601_15_001,
tax_repartition_line_5038,marin_data.tax_1010_ieps_8_0_602_lmmr,marin_data.account_602_61_001,
