id,code,type,product_qty,active,ready_to_produce,consumption,sequence,product_tmpl_id/id,product_uom_id/id,previous_bom_id/id,company_id/id,bom_line_ids/id,bom_line_ids/product_id/id,bom_line_ids/product_uom_id/id,bom_line_ids/product_qty,bom_line_ids/manual_consumption,bom_line_ids/sequence
mrp_bom_1001,Formulate Alfaspray XM 12x1L Batch 1000L,Manufacture this product,1000.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1201,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1001,marin_data.product_product_1765,uom.product_uom_kgm,604.12,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1002,marin_data.product_product_1728,uom.product_uom_kgm,34.41,True,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1003,marin_data.product_product_1725,uom.product_uom_kgm,229.4,True,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1004,marin_data.product_product_2080,uom.product_uom_kgm,0.344,True,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1005,marin_data.product_product_2081,uom.product_uom_kgm,1.147,True,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1006,marin_data.product_product_1200,uom.product_uom_kgm,91.76,True,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1007,marin_data.product_product_1727,uom.product_uom_kgm,114.7,True,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1008,marin_data.product_product_2121,uom.product_uom_kgm,19.5,True,9
,,,,,,,,,,,,marin_data.mrp_bom_line_1009,marin_data.product_product_1726,uom.product_uom_kgm,51.61,True,10
,,,,,,,,,,,,marin_data.mrp_bom_line_1010,marin_data.product_product_1868,uom.product_uom_unit,1000.0,,11
,,,,,,,,,,,,marin_data.mrp_bom_line_1011,marin_data.product_product_1870,uom.product_uom_unit,1000.0,,12
,,,,,,,,,,,,marin_data.mrp_bom_line_1012,marin_data.product_product_2114,uom.product_uom_unit,1084.0,,14
,,,,,,,,,,,,marin_data.mrp_bom_line_1013,marin_data.product_product_1501,uom.product_uom_unit,84.0,,15
,,,,,,,,,,,,marin_data.mrp_bom_line_1014,marin_data.product_product_2329,uom.product_uom_unit,1.0,,16
mrp_bom_1002,Formulate Alfaspray XM 12x1L Batch 200L,Manufacture this product,200.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1201,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1015,marin_data.product_product_1765,uom.product_uom_kgm,120.82,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1016,marin_data.product_product_1728,uom.product_uom_kgm,6.88,True,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1017,marin_data.product_product_1725,uom.product_uom_kgm,45.88,True,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1018,marin_data.product_product_2080,uom.product_uom_kgm,0.07,True,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1019,marin_data.product_product_2081,uom.product_uom_kgm,0.23,True,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1020,marin_data.product_product_1200,uom.product_uom_kgm,18.35,True,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1021,marin_data.product_product_1727,uom.product_uom_kgm,22.94,True,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1022,marin_data.product_product_2121,uom.product_uom_kgm,3.9,True,9
,,,,,,,,,,,,marin_data.mrp_bom_line_1023,marin_data.product_product_1726,uom.product_uom_kgm,10.32,True,10
,,,,,,,,,,,,marin_data.mrp_bom_line_1024,marin_data.product_product_1868,uom.product_uom_unit,200.0,,11
,,,,,,,,,,,,marin_data.mrp_bom_line_1025,marin_data.product_product_1870,uom.product_uom_unit,200.0,,12
,,,,,,,,,,,,marin_data.mrp_bom_line_1026,marin_data.product_product_2114,uom.product_uom_unit,217.0,,13
,,,,,,,,,,,,marin_data.mrp_bom_line_1027,marin_data.product_product_1501,uom.product_uom_unit,17.0,,14
,,,,,,,,,,,,marin_data.mrp_bom_line_1028,marin_data.product_product_2329,uom.product_uom_unit,1.0,,15
mrp_bom_1003,Formulate Alfaspray XM 12x1L Batch 500L,Manufacture this product,500.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1201,uom.product_uom_litre,,marin_data.company_lmmr,marin_data.mrp_bom_line_1029,marin_data.product_product_1765,uom.product_uom_kgm,302.06,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1030,marin_data.product_product_1728,uom.product_uom_kgm,17.21,True,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1031,marin_data.product_product_1725,uom.product_uom_kgm,114.7,True,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1032,marin_data.product_product_2080,uom.product_uom_kgm,0.17,True,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1033,marin_data.product_product_2081,uom.product_uom_kgm,0.57,True,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1034,marin_data.product_product_1200,uom.product_uom_kgm,45.88,True,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1035,marin_data.product_product_1727,uom.product_uom_kgm,57.35,True,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1036,marin_data.product_product_2121,uom.product_uom_kgm,9.75,True,9
,,,,,,,,,,,,marin_data.mrp_bom_line_1037,marin_data.product_product_1726,uom.product_uom_kgm,25.81,True,10
,,,,,,,,,,,,marin_data.mrp_bom_line_1038,marin_data.product_product_1868,uom.product_uom_unit,500.0,,11
,,,,,,,,,,,,marin_data.mrp_bom_line_1039,marin_data.product_product_1870,uom.product_uom_unit,500.0,,12
,,,,,,,,,,,,marin_data.mrp_bom_line_1040,marin_data.product_product_2114,uom.product_uom_unit,542.0,,13
,,,,,,,,,,,,marin_data.mrp_bom_line_1041,marin_data.product_product_1501,uom.product_uom_unit,42.0,,14
