id,company_id/id,currency_id/id,tag_ids/id,name,code,account_type,reconcile,create_asset,deprecated,opening_credit,opening_debit,opening_balance
marin.account_101_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Cash main,101.01.001,Bank and Cash,,No,,,,
marin.account_101_01_003_lmmr,marin.company_lmmr,base.USD,l10n_mx.tag_debit_balance_account,Cash USD,101.01.003,Bank and Cash,,No,,,,
marin.account_101_01_005_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Cash BAL,101.01.005,Bank and Cash,,No,,,,
marin.account_101_01_007_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Cash SJN,101.01.007,Bank and Cash,,No,,,,
marin.account_102_01_000_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Bank suspense account,102.01.000,Current Assets,,No,,,,
marin.account_102_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Bank BBVA 0194254961,102.01.001,Bank and Cash,,No,,,,
marin.account_102_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Bank Banorte 0313328770,102.01.002,Bank and Cash,,No,,,,
marin.account_102_01_003_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Bank Efectivale - Expenses,102.01.003,Bank and Cash,,No,,,,
marin.account_102_01_004_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Bank BanBajio 0038383478,102.01.004,Bank and Cash,,No,,,,
marin.account_102_01_020_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Bank BBVA meta segura,102.01.020,Bank and Cash,,No,,,,
marin.account_102_01_111_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Liquidity transfer,102.01.111,Current Assets,True,No,,,,
marin.account_102_01_112_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Balance transfer between clients,102.01.112,Current Assets,True,No,,,,
marin.account_105_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Domestic customers FF,105.01.001,Receivable,True,No,,,,
marin.account_105_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Domestic customers NF,105.01.002,Receivable,True,No,,,,
marin.account_107_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Officers and employees FF,107.01.001,Payable,True,No,,,,
marin.account_107_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Officers and employees NF,107.01.002,Payable,True,No,,,,
marin.account_113_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,VAT in favor,113.01.001,Current Assets,,No,,,,
marin.account_113_02_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Income tax (ISR) in favor,113.02.001,Current Assets,,No,,,,
marin.account_113_06_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Employment subsidy actually delivered,113.06.001,Current Assets,,No,,,,
marin.account_113_08_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Other taxes in favor,113.08.001,Current Assets,,No,,,,
marin.account_114_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Provisional income tax (ISR) payments,114.01.001,Current Assets,,No,,,,
marin.account_115_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Inventory FF,115.01.001,Current Assets,,No,,,,
marin.account_115_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Inventory NF,115.01.002,Current Assets,,No,,,,
marin.account_118_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Paid VAT creditable,118.01.001,Current Assets,,No,,,,
