id,account_prefix,analytic_distribution,company_id/id,product_id/id,vehicle_id/id
marin.analytic_distribution_model_1001,401.04.00,"{""1000"": 100.0}",marin.company_lmmr,marin.product_product_1142,
marin.analytic_distribution_model_1002,501.01.00,"{""1000"": 100.0}",marin.company_lmmr,marin.product_product_1142,
marin.analytic_distribution_model_1003,401.04.00,"{""1001"": 100.0}",marin.company_lmmr,marin.product_product_1143,
marin.analytic_distribution_model_1004,501.01.00,"{""1001"": 100.0}",marin.company_lmmr,marin.product_product_1143,
marin.analytic_distribution_model_1005,401.04.00,"{""1002"": 100.0}",marin.company_lmmr,marin.product_product_1144,
marin.analytic_distribution_model_1006,501.01.00,"{""1002"": 100.0}",marin.company_lmmr,marin.product_product_1144,
marin.analytic_distribution_model_1007,401.04.00,"{""1003"": 100.0}",marin.company_lmmr,marin.product_product_1145,
marin.analytic_distribution_model_1008,501.01.00,"{""1003"": 100.0}",marin.company_lmmr,marin.product_product_1145,
marin.analytic_distribution_model_1009,401.04.00,"{""1004"": 100.0}",marin.company_lmmr,marin.product_product_1151,
marin.analytic_distribution_model_1010,501.01.00,"{""1004"": 100.0}",marin.company_lmmr,marin.product_product_1151,
marin.analytic_distribution_model_1011,401.04.00,"{""1005"": 100.0}",marin.company_lmmr,marin.product_product_1156,
marin.analytic_distribution_model_1012,501.01.00,"{""1005"": 100.0}",marin.company_lmmr,marin.product_product_1156,
marin.analytic_distribution_model_1013,401.04.00,"{""1006"": 100.0}",marin.company_lmmr,marin.product_product_1157,
marin.analytic_distribution_model_1014,501.01.00,"{""1006"": 100.0}",marin.company_lmmr,marin.product_product_1157,
marin.analytic_distribution_model_1015,401.04.00,"{""1007"": 100.0}",marin.company_lmmr,marin.product_product_1158,
marin.analytic_distribution_model_1016,501.01.00,"{""1007"": 100.0}",marin.company_lmmr,marin.product_product_1158,
marin.analytic_distribution_model_1017,401.04.00,"{""1008"": 100.0}",marin.company_lmmr,marin.product_product_1160,
marin.analytic_distribution_model_1018,501.01.00,"{""1008"": 100.0}",marin.company_lmmr,marin.product_product_1160,
marin.analytic_distribution_model_1019,401.04.00,"{""1010"": 100.0}",marin.company_lmmr,marin.product_product_1162,
marin.analytic_distribution_model_1020,501.01.00,"{""1010"": 100.0}",marin.company_lmmr,marin.product_product_1162,
marin.analytic_distribution_model_1021,401.04.00,"{""1011"": 100.0}",marin.company_lmmr,marin.product_product_1163,
marin.analytic_distribution_model_1022,501.01.00,"{""1011"": 100.0}",marin.company_lmmr,marin.product_product_1163,
marin.analytic_distribution_model_1023,401.04.00,"{""1012"": 100.0}",marin.company_lmmr,marin.product_product_1165,
marin.analytic_distribution_model_1024,501.01.00,"{""1012"": 100.0}",marin.company_lmmr,marin.product_product_1165,
marin.analytic_distribution_model_1025,401.04.00,"{""1013"": 100.0}",marin.company_lmmr,marin.product_product_1178,
marin.analytic_distribution_model_1026,501.01.00,"{""1013"": 100.0}",marin.company_lmmr,marin.product_product_1178,
marin.analytic_distribution_model_1027,401.04.00,"{""1014"": 100.0}",marin.company_lmmr,marin.product_product_1179,
marin.analytic_distribution_model_1028,501.01.00,"{""1014"": 100.0}",marin.company_lmmr,marin.product_product_1179,
marin.analytic_distribution_model_1029,401.04.00,"{""1015"": 100.0}",marin.company_lmmr,marin.product_product_1195,
marin.analytic_distribution_model_1030,501.01.00,"{""1015"": 100.0}",marin.company_lmmr,marin.product_product_1195,
marin.analytic_distribution_model_1031,401.04.00,"{""1016"": 100.0}",marin.company_lmmr,marin.product_product_1196,
marin.analytic_distribution_model_1032,501.01.00,"{""1016"": 100.0}",marin.company_lmmr,marin.product_product_1196,
marin.analytic_distribution_model_1033,401.04.00,"{""1017"": 100.0}",marin.company_lmmr,marin.product_product_1198,
marin.analytic_distribution_model_1034,501.01.00,"{""1017"": 100.0}",marin.company_lmmr,marin.product_product_1198,
marin.analytic_distribution_model_1035,401.04.00,"{""1018"": 100.0}",marin.company_lmmr,marin.product_product_1199,
marin.analytic_distribution_model_1036,501.01.00,"{""1018"": 100.0}",marin.company_lmmr,marin.product_product_1199,
marin.analytic_distribution_model_1037,401.04.00,"{""1019"": 100.0}",marin.company_lmmr,marin.product_product_1202,
marin.analytic_distribution_model_1038,501.01.00,"{""1019"": 100.0}",marin.company_lmmr,marin.product_product_1202,
marin.analytic_distribution_model_1039,401.04.00,"{""1020"": 100.0}",marin.company_lmmr,marin.product_product_1203,
marin.analytic_distribution_model_1040,501.01.00,"{""1020"": 100.0}",marin.company_lmmr,marin.product_product_1203,
marin.analytic_distribution_model_1041,401.04.00,"{""1021"": 100.0}",marin.company_lmmr,marin.product_product_1206,
marin.analytic_distribution_model_1042,501.01.00,"{""1021"": 100.0}",marin.company_lmmr,marin.product_product_1206,
marin.analytic_distribution_model_1043,401.04.00,"{""1022"": 100.0}",marin.company_lmmr,marin.product_product_1207,
