id,name,invoice_label,type_tax_use,amount_type,amount,include_base_amount,is_base_affected,analytic,tax_exigibility,l10n_mx_tax_type,l10n_mx_factor_type,cash_basis_transition_account_id/id,tax_group_id/id,country_id/id,company_id/id,sequence,active
marin.tax_1001_dsa_5_0_601_lmmr,DSA 5.0% 601,DSA5.0%,Purchases,Percentage,5.0,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1001_dsa_lmmr,base.mx,marin.company_lmmr,63,True
marin.tax_1002_dsa_5_0_602_lmmr,DSA 5.0% 602,DSA5.0%,Purchases,Percentage,5.0,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1001_dsa_lmmr,base.mx,marin.company_lmmr,64,True
marin.tax_1003_ieps_26_5_lmmr,IEPS 26.5%,IEPS26.5%,Purchases,Percentage,26.5,True,,True,Based on Payment,IEPS,Tasa,marin.account_119_03_001_lmmr,marin.tax_group_1003_ieps_26_5_lmmr,base.mx,marin.company_lmmr,49,True
marin.tax_1004_ieps_3_0_telecom_601_lmmr,IEPS 3.0% telecom 601,IEPS3.0% telecom,Purchases,Percentage,3.0,,True,True,Based on Payment,IEPS,Tasa,marin.account_119_03_001_lmmr,marin.tax_group_1004_ieps_3_lmmr,base.mx,marin.company_lmmr,3,True
marin.tax_1005_ieps_3_0_telecom_602_lmmr,IEPS 3.0% telecom 602,IEPS3.0% telecom,Purchases,Percentage,3.0,,True,True,Based on Payment,IEPS,Tasa,marin.account_119_03_001_lmmr,marin.tax_group_1004_ieps_3_lmmr,base.mx,marin.company_lmmr,4,True
marin.tax_1006_ieps_53_0_lmmr,IEPS 53.0%,IEPS53.0%,Purchases,Percentage,53.0,True,True,True,Based on Payment,IEPS,Tasa,marin.account_119_03_001_lmmr,marin.tax_group_1006_ieps_53_lmmr,base.mx,marin.company_lmmr,54,True
marin.tax_1007_ieps_8_0_lmmr,IEPS 8.0%,IEPS8.0%,Purchases,Percentage,8.0,,,True,Based on Payment,IEPS,Tasa,marin.account_119_03_001_lmmr,marin.tax_group_1007_ieps_8_lmmr,base.mx,marin.company_lmmr,40,True
marin.tax_1008_ieps_0_0_lmmr,IEPS 0.0%,IEPS0.0%,Purchases,Percentage,0.0,,,True,Based on Payment,IEPS,Tasa,marin.account_119_03_001_lmmr,marin.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin.company_lmmr,28,True
marin.tax_1009_ieps_3_0_lmmr,IEPS 3.0%,IEPS pesticides,Sales,Percentage,3.0,,,True,Based on Payment,IEPS,Tasa,marin.account_209_02_001_lmmr,marin.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin.company_lmmr,30,True
marin.tax_1010_ieps_6_0_lmmr,IEPS 6.0%,IEPS6.0%,Purchases,Percentage,6.0,,,True,Based on Payment,IEPS,Tasa,marin.account_119_03_001_lmmr,marin.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin.company_lmmr,36,True
marin.tax_1011_ieps_6_0_lmmr,IEPS 6.0%,IEPS6.0%,Sales,Percentage,6.0,,,True,Based on Payment,IEPS,Tasa,marin.account_209_02_001_lmmr,marin.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin.company_lmmr,37,True
marin.tax_1012_ieps_7_0_lmmr,IEPS 7.0%,IEPS7.0%,Purchases,Percentage,7.0,,,True,Based on Payment,IEPS,Tasa,marin.account_119_03_001_lmmr,marin.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin.company_lmmr,38,True
marin.tax_1013_ieps_7_0_lmmr,IEPS 7.0%,IEPS7.0%,Sales,Percentage,7.0,,,True,Based on Payment,IEPS,Tasa,marin.account_209_02_001_lmmr,marin.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin.company_lmmr,39,True
marin.tax_1014_ieps_9_0_lmmr,IEPS 9.0%,IEPS9.0%,Purchases,Percentage,9.0,,,True,Based on Payment,IEPS,Tasa,marin.account_119_03_001_lmmr,marin.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin.company_lmmr,43,True
marin.tax_1015_ieps_9_0_lmmr,IEPS 9.0%,IEPS9.0%,Sales,Percentage,9.0,,,True,Based on Payment,IEPS,Tasa,marin.account_209_02_001_lmmr,marin.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin.company_lmmr,44,True
marin.tax_1016_ieps_exempt_lmmr,IEPS exempt,IEPS exempt,Purchases,Percentage,0.0,,,True,Based on Payment,IEPS,Exento,marin.account_119_03_001_lmmr,marin.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin.company_lmmr,27,True
marin.tax_1017_ish_2_0_601_lmmr,ISH 2.0% 601,ISH2.0%,Purchases,Percentage,2.0,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1009_ish_lmmr,base.mx,marin.company_lmmr,55,True
marin.tax_1018_ish_2_0_602_lmmr,ISH 2.0% 602,ISH2.0%,Purchases,Percentage,2.0,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1009_ish_lmmr,base.mx,marin.company_lmmr,56,True
marin.tax_1019_ish_3_0_601_lmmr,ISH 3.0% 601,ISH3.0%,Purchases,Percentage,3.0,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1009_ish_lmmr,base.mx,marin.company_lmmr,57,True
marin.tax_1020_ish_3_0_602_lmmr,ISH 3.0% 602,ISH3.0%,Purchases,Percentage,3.0,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1009_ish_lmmr,base.mx,marin.company_lmmr,58,True
marin.tax_1021_ish_3_5_601_lmmr,ISH 3.5% 601,ISH3.5%,Purchases,Percentage,3.5,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1009_ish_lmmr,base.mx,marin.company_lmmr,59,True
marin.tax_1022_ish_3_5_602_lmmr,ISH 3.5% 602,ISH3.5%,Purchases,Percentage,3.5,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1009_ish_lmmr,base.mx,marin.company_lmmr,60,True
marin.tax_1023_ish_4_0_601_lmmr,ISH 4.0% 601,ISH4.0%,Purchases,Percentage,4.0,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1009_ish_lmmr,base.mx,marin.company_lmmr,61,True
marin.tax_1024_ish_4_0_602_lmmr,ISH 4.0% 602,ISH4.0%,Purchases,Percentage,4.0,,,True,Based on Invoice,IVA,Tasa,,marin.tax_group_1009_ish_lmmr,base.mx,marin.company_lmmr,62,True
marin.tax_1025_income_tax_10_0_retention_leasing_lmmr,Income tax 10.0% retention leasing,ISR10.0%,Sales,Percentage,-10.0,,,True,Based on Payment,ISR,Tasa,marin.account_216_03_002_lmmr,marin.tax_group_1010_isr_retention_10_lmmr,base.mx,marin.company_lmmr,2,True
marin.tax_1026_vat_0_0_lmmr,VAT 0.0%,VAT0.0%,Purchases,Percentage,0.0,,,,Based on Payment,IVA,Tasa,marin.account_119_01_001_lmmr,marin.tax_group_1012_vat_0_lmmr,base.mx,marin.company_lmmr,8,True
marin.tax_1027_vat_0_0_lmmr,VAT 0.0%,VAT0.0%,Sales,Percentage,0.0,,,True,Based on Payment,IVA,Tasa,marin.account_209_01_001_lmmr,marin.tax_group_1012_vat_0_lmmr,base.mx,marin.company_lmmr,11,True
