id,chart_id/id,group_id/id,name,code,currency_mode,invert_sign,account_ids/id
marin.consolidation_account_1000,marin.consolidation_chart_2,marin.consolidation_group_2,Credit card,,Closing Rate,,"marin.account_102_01_000_lmmg,marin.account_202_03_002_lmmr,marin.account_202_03_003_lmmr,marin.account_202_03_004_lmmr,marin.account_202_03_005_lmmr,marin.account_202_03_006_lmmr,marin.account_202_03_007_lmmr"
marin.consolidation_account_1001,marin.consolidation_chart_2,marin.consolidation_group_3,Monederos electronicos,,Closing Rate,,"marin.account_102_01_003_lmmg,marin.account_102_01_003_lmmr"
marin.consolidation_account_1002,marin.consolidation_chart_2,marin.consolidation_group_4,Banco,102.01,Closing Rate,,"marin.account_102_01_001_lmmg,marin.account_102_01_001_lmmr,marin.account_102_01_001_glmm,marin.account_102_01_002_lmmg,marin.account_102_01_002_lmmr,marin.account_102_01_004_lmmg,marin.account_102_01_004_lmmr,marin.account_102_01_010_lmmg,marin.account_102_01_010_glmm,account.6_cuenta115_01"
marin.consolidation_account_1003,marin.consolidation_chart_2,marin.consolidation_group_5,Efectivo,101.01,Closing Rate,,"marin.account_101_01_001_lmmg,marin.account_101_01_001_lmmr,marin.account_101_01_001_glmm,marin.account_101_01_005_lmmr,marin.account_101_01_007_lmmr,account.6_cuenta108_02,account.5_cuenta118_03"
marin.consolidation_account_1004,marin.consolidation_chart_5,marin.consolidation_group_6,Bank suspense account,102.01.000,Closing Rate,,"marin.account_102_01_000_lmmg,marin.account_102_01_000_lmmr"
marin.consolidation_account_1005,marin.consolidation_chart_5,marin.consolidation_group_6,Liquidity transfer,102.01.111,Closing Rate,,"marin.account_102_01_111_lmmg,marin.account_102_01_111_lmmr"
marin.consolidation_account_1006,marin.consolidation_chart_5,marin.consolidation_group_6,Balance transfer between clients,102.01.112,Closing Rate,,marin.account_102_01_112_lmmr
marin.consolidation_account_1007,marin.consolidation_chart_5,marin.consolidation_group_6,VAT in favor,113.01.001,Closing Rate,,"marin.account_113_01_001_lmmg,marin.account_113_01_001_lmmr"
marin.consolidation_account_1008,marin.consolidation_chart_5,marin.consolidation_group_6,Income tax in favor,113.02.001,Closing Rate,,"marin.account_113_02_001_lmmg,marin.account_113_02_001_lmmr"
marin.consolidation_account_1009,marin.consolidation_chart_5,marin.consolidation_group_6,Other taxes in favor,113.08.001,Closing Rate,,"marin.account_113_08_001_lmmg,marin.account_113_08_001_lmmr"
marin.consolidation_account_1010,marin.consolidation_chart_5,marin.consolidation_group_6,Provisional income tax payments,114.01.001,Closing Rate,,"marin.account_114_01_001_lmmg,marin.account_114_01_001_lmmr"
marin.consolidation_account_1011,marin.consolidation_chart_5,marin.consolidation_group_6,Inventory FF,115.01.001,Closing Rate,,"marin.account_115_01_001_lmmg,marin.account_115_01_001_lmmr"
marin.consolidation_account_1012,marin.consolidation_chart_5,marin.consolidation_group_6,Inventory NF,115.01.002,Closing Rate,,"marin.account_115_01_002_lmmg,marin.account_115_01_002_lmmr"
