"id","name","currency_id/id","invert_sign","color","company_ids/id"
"marin.consolidation_chart_01","Balance sheet","base.MXN","","0","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_02","Bank and cash","base.MXN","","10","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_03","Cash flow","base.MXN","","0","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_04","Cost of revenue","base.MXN","","0","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_05","Current assets","base.MXN","","10","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_06","Current liabilities","base.MXN","","1","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_07","Depreciation","base.MXN","","1","marin.company_lmmr,marin.company_lmmg"
"marin.consolidation_chart_08","Expenses","base.MXN","","3","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_09","FX","base.MXN","","1","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_10","Fixed assets","base.MXN","","10","marin.company_lmmr,marin.company_lmmg"
"marin.consolidation_chart_11","Non current liabilities","base.MXN","","0","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_12","Operating income","base.MXN","","10","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_13","Other income","base.MXN","","0","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_14","Payable","base.MXN","","5","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_15","Profit and loss","base.MXN","","11","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
"marin.consolidation_chart_16","Receivable","base.MXN","","10","marin.company_lmmr,marin.company_lmmg,marin.company_glmm"
