id,chart_id/id,parent_id/id,name,sequence,show_on_dashboard,invert_sign
marin.consolidation_group_01,marin.consolidation_chart_02,,Bank and cash,0,,
marin.consolidation_group_02,marin.consolidation_chart_02,marin.consolidation_group_01,Bank,2,,
marin.consolidation_group_03,marin.consolidation_chart_02,marin.consolidation_group_01,Cash,1,,
marin.consolidation_group_04,marin.consolidation_chart_02,marin.consolidation_group_02,Credit card,4,,
marin.consolidation_group_05,marin.consolidation_chart_02,marin.consolidation_group_02,Electronic wallet,3,,
marin.consolidation_group_06,marin.consolidation_chart_05,,Current Assets,7,,
marin.consolidation_group_07,marin.consolidation_chart_05,,Supplier advances,8,,
marin.consolidation_group_08,marin.consolidation_chart_06,,Current Liabilities,9,,
marin.consolidation_group_09,marin.consolidation_chart_07,,Depreciation,18,,
marin.consolidation_group_10,marin.consolidation_chart_08,,Expenses,10,,
marin.consolidation_group_11,marin.consolidation_chart_08,marin.consolidation_group_10,Non collectable debt,17,,
marin.consolidation_group_12,marin.consolidation_chart_08,marin.consolidation_group_10,Operating cost,15,,
marin.consolidation_group_13,marin.consolidation_chart_08,marin.consolidation_group_10,Operating cost - HR,14,,
marin.consolidation_group_14,marin.consolidation_chart_08,marin.consolidation_group_10,Personal expenses,13,,
marin.consolidation_group_15,marin.consolidation_chart_09,,FX,25,,
marin.consolidation_group_16,marin.consolidation_chart_10,,Fixed Assets,24,,
marin.consolidation_group_17,marin.consolidation_chart_12,,Operating income,19,,
marin.consolidation_group_18,marin.consolidation_chart_14,,Payable,5,,
marin.consolidation_group_19,marin.consolidation_chart_15,,Expenses,11,,
marin.consolidation_group_20,marin.consolidation_chart_15,,Income,20,,
marin.consolidation_group_21,marin.consolidation_chart_15,marin.consolidation_group_19,Depreciation,16,,
marin.consolidation_group_22,marin.consolidation_chart_15,marin.consolidation_group_19,Expenses,12,,
marin.consolidation_group_23,marin.consolidation_chart_15,marin.consolidation_group_20,Cost of revenue,22,,
marin.consolidation_group_24,marin.consolidation_chart_15,marin.consolidation_group_20,Operating income,21,,
marin.consolidation_group_25,marin.consolidation_chart_15,marin.consolidation_group_20,Other income,23,,
marin.consolidation_group_26,marin.consolidation_chart_16,,Receivable,6,,
