id,chart_id/id,date_analysis_begin,date_analysis_end
marin.consolidation_period_01,marin.consolidation_chart_02,2013-01-01,2024-12-31
marin.consolidation_period_02,marin.consolidation_chart_05,2017-01-01,2017-12-31
marin.consolidation_period_03,marin.consolidation_chart_05,2018-01-01,2018-12-31
marin.consolidation_period_04,marin.consolidation_chart_05,2019-01-01,2019-12-31
marin.consolidation_period_05,marin.consolidation_chart_05,2020-01-01,2020-12-31
marin.consolidation_period_06,marin.consolidation_chart_05,2021-01-01,2021-12-31
marin.consolidation_period_07,marin.consolidation_chart_05,2022-01-01,2022-12-31
marin.consolidation_period_08,marin.consolidation_chart_05,2023-01-01,2023-12-31
marin.consolidation_period_09,marin.consolidation_chart_05,2024-01-01,2024-12-31
marin.consolidation_period_10,marin.consolidation_chart_06,2017-01-01,2017-12-31
marin.consolidation_period_11,marin.consolidation_chart_06,2018-01-01,2018-12-31
marin.consolidation_period_12,marin.consolidation_chart_06,2019-01-01,2019-12-31
marin.consolidation_period_13,marin.consolidation_chart_06,2020-01-01,2020-12-31
marin.consolidation_period_14,marin.consolidation_chart_06,2021-01-01,2021-12-31
marin.consolidation_period_15,marin.consolidation_chart_06,2022-01-01,2022-12-31
marin.consolidation_period_16,marin.consolidation_chart_06,2023-01-01,2023-12-31
marin.consolidation_period_17,marin.consolidation_chart_06,2024-01-01,2024-12-31
marin.consolidation_period_18,marin.consolidation_chart_07,2017-01-01,2017-12-31
marin.consolidation_period_19,marin.consolidation_chart_07,2018-01-01,2018-12-31
marin.consolidation_period_20,marin.consolidation_chart_07,2019-01-01,2019-12-31
marin.consolidation_period_21,marin.consolidation_chart_07,2020-01-01,2020-12-31
marin.consolidation_period_22,marin.consolidation_chart_07,2021-01-01,2021-12-31
marin.consolidation_period_23,marin.consolidation_chart_07,2022-01-01,2022-12-31
marin.consolidation_period_24,marin.consolidation_chart_07,2023-01-01,2023-12-31
marin.consolidation_period_25,marin.consolidation_chart_07,2024-01-01,2024-12-31
marin.consolidation_period_26,marin.consolidation_chart_08,2017-01-01,2017-12-31
marin.consolidation_period_27,marin.consolidation_chart_08,2018-01-01,2018-12-31
marin.consolidation_period_28,marin.consolidation_chart_08,2019-01-01,2019-12-31
marin.consolidation_period_29,marin.consolidation_chart_08,2020-01-01,2020-12-31
marin.consolidation_period_30,marin.consolidation_chart_08,2021-01-01,2021-12-31
marin.consolidation_period_31,marin.consolidation_chart_08,2022-01-01,2022-12-31
marin.consolidation_period_32,marin.consolidation_chart_08,2023-01-01,2023-12-31
marin.consolidation_period_33,marin.consolidation_chart_08,2024-01-01,2024-12-31
marin.consolidation_period_34,marin.consolidation_chart_09,2013-01-01,2024-12-31
marin.consolidation_period_35,marin.consolidation_chart_10,2013-01-01,2024-12-31
marin.consolidation_period_36,marin.consolidation_chart_12,2017-01-01,2017-12-31
marin.consolidation_period_37,marin.consolidation_chart_12,2018-01-01,2018-12-31
marin.consolidation_period_38,marin.consolidation_chart_12,2019-01-01,2019-12-31
marin.consolidation_period_39,marin.consolidation_chart_12,2020-01-01,2020-12-31
marin.consolidation_period_40,marin.consolidation_chart_12,2021-01-01,2021-12-31
marin.consolidation_period_41,marin.consolidation_chart_12,2022-01-01,2022-12-31
marin.consolidation_period_42,marin.consolidation_chart_12,2023-01-01,2023-12-31
marin.consolidation_period_43,marin.consolidation_chart_12,2024-01-01,2024-12-31
marin.consolidation_period_44,marin.consolidation_chart_14,2013-01-01,2024-12-31
marin.consolidation_period_45,marin.consolidation_chart_15,2017-01-01,2017-12-31
marin.consolidation_period_46,marin.consolidation_chart_15,2018-01-01,2018-12-31
marin.consolidation_period_47,marin.consolidation_chart_15,2019-01-01,2019-12-31
marin.consolidation_period_48,marin.consolidation_chart_15,2020-01-01,2020-12-31
marin.consolidation_period_49,marin.consolidation_chart_15,2021-01-01,2021-12-31
marin.consolidation_period_50,marin.consolidation_chart_15,2022-01-01,2022-12-31
marin.consolidation_period_51,marin.consolidation_chart_15,2023-01-01,2023-12-31
marin.consolidation_period_52,marin.consolidation_chart_15,2024-01-01,2024-02-29
marin.consolidation_period_53,marin.consolidation_chart_16,2013-12-01,2024-12-31
