"id","name","company_id/id","department_id/id","active"
"marin.hr_job_1","Owner","marin.company_lmmr","marin.hr_department_3","True"
"marin.hr_job_2","Management leader","marin.company_lmmr","marin.hr_department_8","True"
"marin.hr_job_3","Commercial leader","marin.company_lmmr","marin.hr_department_4","True"
"marin.hr_job_4","Business services manager","marin.company_lmmr","marin.hr_department_5","True"
"marin.hr_job_5","Auditor","marin.company_lmmr","marin.hr_department_6","True"
"marin.hr_job_6","Managment representative","marin.company_lmmr","marin.hr_department_8","True"
"marin.hr_job_7","Commercial representative","marin.company_lmmr","marin.hr_department_4","True"
"marin.hr_job_8","Operative","marin.company_lmmr","marin.hr_department_7","True"
"marin.hr_job_9","General leader","marin.company_lmmr","marin.hr_department_3","True"
"marin.hr_job_10","Auxiliar of operations","marin.company_lmmr","marin.hr_department_7","True"
"marin.hr_job_11","Project manager","marin.company_lmmr","marin.hr_department_7","True"
"marin.hr_job_12","Commercial representative","marin.company_glmm","marin.hr_department_9","True"
"marin.hr_job_13","Operations leader","marin.company_lmmr","marin.hr_department_7","True"
"marin.hr_job_14","Treasurer","marin.company_lmmr","marin.hr_department_8","True"
"marin.hr_job_15","Innovation leader","marin.company_lmmr","marin.hr_department_8","True"
"marin.hr_job_16","Management load","marin.company_lmmr","marin.hr_department_8","True"
"marin.hr_job_17","Commercial representative junior","marin.company_lmmr","marin.hr_department_9","True"
"marin.hr_job_18","Deputy general leader","marin.company_lmmr","marin.hr_department_3","True"
"marin.hr_job_19","Debt collection officer","marin.company_lmmr","marin.hr_department_8","True"
"marin.hr_job_20","Auxiliar of general leader","marin.company_lmmr","marin.hr_department_3","True"
