id,name,parent_id/id
marin.product_category_101,Activos,
marin.product_category_102,FX,
marin.product_category_103,Gastos,
marin.product_category_104,Materia prima,
marin.product_category_105,Nucleo,
marin.product_category_106,"Articulos de promocion, propaganda, publicidad",marin.product_category_103
marin.product_category_107,Casetas,marin.product_category_103
marin.product_category_108,"Formulantes, ingredientes activos",marin.product_category_104
marin.product_category_109,Material de empaque,marin.product_category_104
marin.product_category_110,Acondicionadores,marin.product_category_105
marin.product_category_111,Herbicidas,marin.product_category_105
marin.product_category_112,Insecticidas,marin.product_category_105
marin.product_category_113,Microbicidas,marin.product_category_105
marin.product_category_114,Nutrientes,marin.product_category_105
marin.product_category_115,Productos del campo,marin.product_category_105
marin.product_category_116,Suministros,marin.product_category_105
marin.product_category_117,Coadyuvantes,marin.product_category_110
marin.product_category_118,Dispersantes,marin.product_category_110
marin.product_category_119,Desecantes,marin.product_category_111
marin.product_category_120,Especialidades herbicidas,marin.product_category_111
marin.product_category_121,Graminicidas,marin.product_category_111
marin.product_category_122,Herbicidas,marin.product_category_111
marin.product_category_123,Hormonales,marin.product_category_111
marin.product_category_124,Sulfunilureas,marin.product_category_111
marin.product_category_125,Triazinas,marin.product_category_111
marin.product_category_126,Acaricidas,marin.product_category_112
marin.product_category_127,"Carbamatos, organofosforados, piretroides",marin.product_category_112
marin.product_category_128,Especialidades insecticidas,marin.product_category_112
marin.product_category_129,Granulados,marin.product_category_112
marin.product_category_130,ICN y moduladores nicotinicos,marin.product_category_112
marin.product_category_131,Insecticidas biologicos y organicos,marin.product_category_112
marin.product_category_132,Trips,marin.product_category_112
marin.product_category_133,Bactericidas,marin.product_category_113
marin.product_category_134,"Benci, imidazoles",marin.product_category_113
marin.product_category_135,Biocidas,marin.product_category_113
marin.product_category_136,"Carboxamidas, fenilurea",marin.product_category_113
marin.product_category_137,Especialidades fungicidas,marin.product_category_113
marin.product_category_138,Estrobilurinas,marin.product_category_113
marin.product_category_139,Fungicidas biologicos,marin.product_category_113
marin.product_category_140,Tizon protectantes,marin.product_category_113
marin.product_category_141,Tizon sistemicos,marin.product_category_113
marin.product_category_142,Triazoles,marin.product_category_113
marin.product_category_143,Bioestimulantes,marin.product_category_114
marin.product_category_144,Fertilizantes foliares - macro,marin.product_category_114
marin.product_category_145,Fertilizantes foliares - micro,marin.product_category_114
marin.product_category_146,Fertilizantes solidos,marin.product_category_114
marin.product_category_147,Fertilizantes solubles,marin.product_category_114
marin.product_category_148,Llenadores,marin.product_category_114
marin.product_category_149,Mejoradores de suelo,marin.product_category_114
marin.product_category_150,Pajas,marin.product_category_115
marin.product_category_151,Papas,marin.product_category_115
marin.product_category_152,Aspersoras y bombas,marin.product_category_116
marin.product_category_153,Chicharo semillas,marin.product_category_116
marin.product_category_154,Fumigantes,marin.product_category_116
marin.product_category_155,Maiz semillas,marin.product_category_116
marin.product_category_156,Papa semillas,marin.product_category_116
marin.product_category_157,Rodenticidas,marin.product_category_116
marin.product_category_158,Tomate semillas,marin.product_category_116
marin.product_category_159,Zanahoria semillas,marin.product_category_116
