id,name,default_code,type,uom_id/id,uom_po_id/id,standard_price,list_price,volume,weight,base_unit_count,barcode,x_dose_x_ha,active,available_in_pos,can_be_expensed,purchase_ok,rent_ok,sale_ok,landed_cost_ok,is_published,is_storable,tracking,invoice_policy,purchase_method,pos_categ_ids/id,categ_id/id,unspsc_code_id/id
marin.product_template_1001,"Acarreos, distribucion, fletes, logistica, maniobras, transporte de carga",,Service,uom.product_uom_unit,uom.product_uom_unit,1190.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_expenses,product_unspsc.unspsc_code_60105618
marin.product_template_1002,"Alquiler, arrendamiento, renta mensual de propiedades o edificios",,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_expenses,product_unspsc.unspsc_code_60121008
marin.product_template_1003,Bloques para contruccion,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,6.59,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_111,
marin.product_template_1004,"Bonificaciones, descuentos, notas de credito, servicios de facturación a tasa 0%",,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_fx,product_unspsc.unspsc_code_70111602
marin.product_template_1005,Cambio de banco a efectivo a terceros,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_fx,product_unspsc.unspsc_code_70111501
marin.product_template_1006,Cambio de efectivo propio para banco,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_fx,product_unspsc.unspsc_code_70111602
marin.product_template_1007,Caseta/Autopista Acambay,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,21.55,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1008,Caseta/Autopista Acatlan II,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,110.344828,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1009,Caseta/Autopista Amozoc,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,57.758621,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1010,Caseta/Autopista Apaseo,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1011,Caseta/Autopista Atitalaquia,,Service,uom.product_uom_unit,uom.product_uom_unit,160.0,0.0,0.0,0.0,0.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1012,Caseta/Autopista Atlacomulco,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1013,Caseta/Autopista Atlacomulco Sur,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1014,Caseta/Autopista Atlacomulco-Banobras,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,40.517241,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1015,Caseta/Autopista Autopista Urbana,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1016,Caseta/Autopista Capula Viapass,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,45.69,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1017,Caseta/Autopista Cayaco,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,50.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1018,Caseta/Autopista Cerro Gordo,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,33.62,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1019,Caseta/Autopista Chalco,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,15.517241,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1020,Caseta/Autopista Chamapa,,Service,uom.product_uom_unit,uom.product_uom_unit,203.44,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1021,Caseta/Autopista Chapala,,Service,uom.product_uom_unit,uom.product_uom_unit,1561.33,62.931034,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1022,Caseta/Autopista Chapultepec,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
marin.product_template_1023,Caseta/Autopista Chichimequillas,,Service,uom.product_uom_unit,uom.product_uom_unit,0.0,37.93,0.0,0.0,1.0,,0.0,True,,,True,,,,,,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_114,
