"id","name","date_start","date","label_tasks","is_favorite","allow_milestones","allow_task_dependencies","use_documents","color","privacy_visibility","active","user_id/id","stage_id/id","company_id/id"
"marin.project_01","[CONS] Commercial","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_1",""
"marin.project_02","[CONS] Human resources skills","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_0",""
"marin.project_03","[CONS] Management","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_1",""
"marin.project_04","[CONS] Transition to Xiuman","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_0",""
"marin.project_05","[INO] Automatic stores","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_0",""
"marin.project_06","[INO] Logistics and fleet control with gps","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_1",""
"marin.project_07","[INO] Meetings more efficient with AI and technology","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_1",""
"marin.project_08","[INO] Procesamiento y distribución de papas chips","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_0",""
"marin.project_09","[INO] Website creation Agro Marin","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_0",""
"marin.project_10","[INO] Website creation Xiuman Agro","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_1",""
"marin.project_11","[OPER] Back office 2022-2023","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_2",""
"marin.project_12","[OPER] Back office 2024","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_1",""
"marin.project_13","[OPER] Real Madrid de los agroquimicos","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_1",""
"marin.project_14","[OPER] Warehouse reorder Codagem","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_1",""
"marin.project_15","[SALE] 2022","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_2",""
"marin.project_16","[SALE] 2023","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_2",""
"marin.project_17","[SALE] 2024","","","Tasks","","True","True","True","0","Invited portal users and all internal users (public)","True","base.user_admin","project.project_project_stage_1",""
