"id","name","sequence","auto_validation_state","fold","active","project_ids/id"
"marin.project_task_type_01","Incidence","0","","","True","marin.project_12"
"marin.project_task_type_02","Documentation","1","","","True","marin.project_03,marin.project_12"
"marin.project_task_type_03","Process redesing","2","","","True","marin.project_03,marin.project_12"
"marin.project_task_type_04","Action","3","","","True","marin.project_03,marin.project_12"
"marin.project_task_type_05","Requirements","4","","","True","marin.project_05,marin.project_9,marin.project_10,marin.project_06,marin.project_08,marin.project_07"
"marin.project_task_type_06","Planning","5","","","True","marin.project_05,marin.project_9,marin.project_10,marin.project_06,marin.project_08,marin.project_07"
"marin.project_task_type_07","Product development","6","","","True","marin.project_08"
"marin.project_task_type_08","Deployment","7","","","True","marin.project_06,marin.project_7"
"marin.project_task_type_09","Implementation","8","","","True","marin.project_12,marin.project_14"
"marin.project_task_type_10","Marketing & launch","9","","","True","marin.project_08"
"marin.project_task_type_11","Production & logistic","10","","","True","marin.project_08"
