"id","name","country_id/id","is_company","type","company_type","manufacturer","active"
"marin.manufacturer_adama","ADAMA","base.cn","True","Contact","Company","True","True"
"marin.manufacturer_amvac","AMVAC","base.us","True","Contact","Company","True","True"
"marin.manufacturer_anajalsa","ANAJALSA","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_acadian","Acadian","base.ca","True","Contact","Company","True","True"
"marin.manufacturer_advam","Advam","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_advan","Advan","base.it","True","Contact","Company","True","True"
"marin.manufacturer_agricam","Agricam","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_agroenzymas","Agroenzymas","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_agrogen","Agrogen","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_agroscience","Agroscience","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_agroterrum","Agroterrum","base.cn","True","Contact","Company","True","True"
"marin.manufacturer_albaugh","Albaugh","base.us","True","Contact","Company","True","True"
"marin.manufacturer_altiara","Altiara","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_anasac","Anasac","base.cl","True","Contact","Company","True","True"
"marin.manufacturer_axeb","Axeb","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_basf","BASF","base.de","True","Contact","Company","True","True"
"marin.manufacturer_bayer","Bayer","base.de","True","Contact","Company","True","True"
"marin.manufacturer_biogamma","Biogamma","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_brandon","Brandon","base.ie","True","Contact","Company","True","True"
"marin.manufacturer_cheminova","Cheminova","base.mx","True","Contact","Company","True",""
"marin.manufacturer_compo","Compo","base.de","True","Contact","Company","True","True"
"marin.manufacturer_corteva","Corteva","base.us","True","Contact","Company","True","True"
"marin.manufacturer_cosmocel","Cosmocel","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_croda","Croda","base.uk","True","Contact","Company","True","True"
"marin.manufacturer_dragon","Dragon","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_ducor","Ducor","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_eurochem","Eurochem","base.ru","True","Contact","Company","True","True"
"marin.manufacturer_fmc","FMC","base.us","True","Contact","Company","True","True"
"marin.manufacturer_formulabagro","Formulabagro","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_globe","Globe","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_gowan","Gowan","base.us","True","Contact","Company","True","True"
"marin.manufacturer_gruindag","Gruindag","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_haifa","Haifa","base.il","True","Contact","Company","True","True"
"marin.manufacturer_helm","Helm","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_iqc","IQC","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_isk","ISK","base.jp","True","Contact","Company","True","True"
"marin.manufacturer_inagrosa","Inagrosa","base.es","True","Contact","Company","True","True"
"marin.manufacturer_innovak","Innovak","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_isaosa","Isaosa","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_jco","JCO","base.us","True","Contact","Company","True","True"
"marin.manufacturer_koor","Koor","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_lapisa","Lapisa","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_lucava","Lucava","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_mexochem","Mexochem","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_mezfer","Mezfer","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_monsanto","Monsanto","base.us","True","Contact","Company","True","True"
"marin.manufacturer_nichino","Nichino","base.jp","True","Contact","Company","True","True"
"marin.manufacturer_nova_pack","Nova Pack","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_nufarm","Nufarm","base.au","True","Contact","Company","True","True"
"marin.manufacturer_pti","PTI","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_polaquimia","Polaquimia","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_quimix","Quimix","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_rainbow","Rainbow","base.cn","True","Contact","Company","True","True"
"marin.manufacturer_reinke","Reinke","base.us","True","Contact","Company","True","True"
"marin.manufacturer_ruhega","Ruhega","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_sqm","SQM","base.cl","True","Contact","Company","True","True"
"marin.manufacturer_sagal","Sagal","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_shindaiwa","Shindaiwa","base.jp","True","Contact","Company","True","True"
"marin.manufacturer_shokubutsu","Shokubutsu","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_sicit","Sicit","base.it","True","Contact","Company","True","True"
"marin.manufacturer_sifatec","Sifatec","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_summitagro","SummitAgro","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_syngenta","Syngenta","base.ch","True","Contact","Company","True","True"
"marin.manufacturer_tradecorp","Tradecorp","base.es","True","Contact","Company","True","True"
"marin.manufacturer_tridente","Tridente","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_upl","UPL","base.in","True","Contact","Company","True","True"
"marin.manufacturer_valent","Valent","base.jp","True","Contact","Company","True","True"
"marin.manufacturer_velsimex","Velsimex","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_versa","Versa","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_xiuman","Xiuman","base.mx","True","Contact","Company","True","True"
"marin.manufacturer_yara","Yara","base.no","True","Contact","Company","True","True"
"marin.manufacturer_zoetis","Zoetis","base.us","True","Contact","Company","True","True"
