id,company_id/id,warehouse_id/id,default_location_src_id/id,default_location_dest_id/id,name,code,sequence_code,barcode,reservation_method,active,create_backorder,use_existing_lots,show_operations,sequence,color
marin.stock_picking_type_5001,marin.company_lmmg,marin.stock_warehouse_4,marin.stock_location_55,marin.stock_location_5001,Intercompany transfers LMMG-LMMR,Internal Transfer,INTCP,,At Confirmation,True,Never,True,,0,0
marin.stock_picking_type_5002,marin.company_lmmg,marin.stock_warehouse_4,marin.stock_location_55,marin.stock_location_5002,Intercompany transfers LMMG-XM,Internal Transfer,INTCP,,At Confirmation,True,Never,True,,0,0
marin.stock_picking_type_5003,marin.company_lmmr,marin.stock_warehouse_2,marin.stock_location_1026,marin.stock_location_5003,Intercompany transfers LMMR-LMMG,Internal Transfer,INTCP,,At Confirmation,True,Never,True,,77,7
marin.stock_picking_type_5004,marin.company_lmmr,marin.stock_warehouse_2,marin.stock_location_1026,marin.stock_location_5004,Intercompany transfers LMMR-XM,Internal Transfer,INTCP,,At Confirmation,,Never,True,,15,7
marin.stock_picking_type_5005,marin.company_society,marin.stock_warehouse_8,marin.stock_location_111,marin.stock_location_5005,Intercompany transfers XM-LMMG,Internal Transfer,INTCP,,At Confirmation,True,Never,True,,0,0
marin.stock_picking_type_5006,marin.company_society,marin.stock_warehouse_8,marin.stock_location_111,marin.stock_location_5006,Intercompany transfers XM-LMMR,Internal Transfer,INTCP,,At Confirmation,True,Never,True,,0,0
marin.stock_picking_type_5007,marin.company_lmmr,marin.stock_warehouse_2,stock.stock_location_suppliers,marin.stock_location_1026,Returns,Receipt,RTN,LMMR-RTN,At Confirmation,,Always,True,,500,3
marin.stock_picking_type_5008,marin.company_tjgl,marin.stock_warehouse_3,stock.stock_location_suppliers,marin.stock_location_41,Returns,Receipt,RTN,TJGL-RTN,At Confirmation,True,Always,True,,500,0
marin.stock_picking_type_5009,marin.company_lmmg,marin.stock_warehouse_4,stock.stock_location_suppliers,marin.stock_location_55,Returns,Receipt,RTN,LMMG-RTN,At Confirmation,True,Always,True,,0,0
marin.stock_picking_type_5010,marin.company_ammg,marin.stock_warehouse_5,stock.stock_location_suppliers,marin.stock_location_69,Returns,Receipt,RTN,AMMG-RTN,At Confirmation,True,Always,True,,500,0
marin.stock_picking_type_5011,marin.company_cfmg,marin.stock_warehouse_6,stock.stock_location_suppliers,marin.stock_location_83,Returns,Receipt,RTN,CFMG-RTN,At Confirmation,True,Always,True,,500,0
marin.stock_picking_type_5012,marin.company_glmm,marin.stock_warehouse_7,stock.stock_location_suppliers,marin.stock_location_97,Returns,Receipt,RTN,GLMM-RTN,At Confirmation,True,Always,True,,500,0
marin.stock_picking_type_5013,marin.company_society,marin.stock_warehouse_8,stock.stock_location_suppliers,marin.stock_location_111,Returns,Receipt,RTN,XM-RTN,At Confirmation,True,Always,True,,500,0
marin.stock_picking_type_5014,marin.company_lmmr,marin.stock_warehouse_101,stock.stock_location_suppliers,marin.stock_location_1002,Returns,Receipt,RTN,SNT-RTN,At Confirmation,True,Always,True,,70,3
marin.stock_picking_type_5015,marin.company_lmmr,marin.stock_warehouse_102,stock.stock_location_suppliers,marin.stock_location_1010,Returns,Receipt,RTN,BAL-RTN,At Confirmation,True,Always,True,,69,3
marin.stock_picking_type_5016,marin.company_lmmr,marin.stock_warehouse_103,stock.stock_location_suppliers,marin.stock_location_1018,Returns,Receipt,RTN,SJN-RTN,At Confirmation,True,Always,True,,68,3
marin.stock_picking_type_5017,marin.company_lmmr,marin.stock_warehouse_104,stock.stock_location_suppliers,marin.stock_location_1026,Returns,Receipt,RTN,CDG-RTN,At Confirmation,True,Always,True,,67,3
marin.stock_picking_type_5018,marin.company_lmmr,marin.stock_warehouse_108,stock.stock_location_suppliers,marin.stock_location_1058,Returns,Receipt,RTN,OBR-RTN,At Confirmation,True,Always,True,,71,3
marin.stock_picking_type_5019,marin.company_lmmr,marin.stock_warehouse_109,stock.stock_location_suppliers,marin.stock_location_1066,Returns,Receipt,RTN,LOM-RTN,At Confirmation,True,Always,True,,72,3
marin.stock_picking_type_5020,marin.company_lmmr,marin.stock_warehouse_110,stock.stock_location_suppliers,marin.stock_location_1074,Returns,Receipt,RTN,MICH-RTN,At Confirmation,True,Always,True,,73,3
marin.stock_picking_type_5021,marin.company_lmmr,marin.stock_warehouse_111,stock.stock_location_suppliers,marin.stock_location_1082,Returns,Receipt,RTN,SALT-RTN,At Confirmation,True,Always,True,,74,3
marin.stock_picking_type_5022,marin.company_lmmr,marin.stock_warehouse_112,stock.stock_location_suppliers,marin.stock_location_1090,Returns,Receipt,RTN,MOCH-RTN,At Confirmation,True,Always,True,,76,3
marin.stock_picking_type_5023,marin.company_lmmr,marin.stock_warehouse_113,stock.stock_location_suppliers,marin.stock_location_1098,Returns,Receipt,RTN,HMT-RTN,At Confirmation,True,Always,True,,75,3
marin.stock_picking_type_5024,marin.company_lmmr,marin.stock_warehouse_101,marin.stock_location_1002,marin.stock_location_5033,Interwarehouse SNT-CDG,Delivery,INTWH,SNT-INTWH-CDG,Manually,True,Never,True,True,66,9
marin.stock_picking_type_5025,marin.company_lmmr,marin.stock_warehouse_102,marin.stock_location_1010,marin.stock_location_5009,Interwarehouse BAL-SJN,Delivery,INTWH,BAL-INTWH-SJN,Manually,True,Never,True,True,53,9
marin.stock_picking_type_5026,marin.company_lmmr,marin.stock_warehouse_102,marin.stock_location_1010,marin.stock_location_5007,Interwarehouse BAL-CDG,Delivery,INTWH,BAL-INTWH-CDG,Manually,True,Never,True,,51,9
marin.stock_picking_type_5027,marin.company_lmmr,marin.stock_warehouse_103,marin.stock_location_1018,marin.stock_location_5030,Interwarehouse SJN-BAL,Delivery,INTWH,SJN-INTWH-BAL,Manually,True,Never,True,True,63,9
marin.stock_picking_type_5028,marin.company_lmmr,marin.stock_warehouse_103,marin.stock_location_1018,marin.stock_location_5031,Interwarehouse SJN-CDG,Delivery,INTWH,SJN-INTWH-CDG,Manually,True,Never,True,True,64,9
marin.stock_picking_type_5029,marin.company_lmmr,marin.stock_warehouse_103,marin.stock_location_1018,marin.stock_location_5032,Interwarehouse SJN-LOM,Delivery,INTWH,SJN-INTWH-LOM,Manually,True,Never,True,True,65,9
marin.stock_picking_type_5030,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5011,Interwarehouse CDG-HMT,Delivery,INTWH,CDG-INTWH-HMT,Manually,True,Never,True,,43,9
marin.stock_picking_type_5031,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5010,Interwarehouse CDG-BAL,Delivery,INTWH,CDG-INTWH-BAL,Manually,True,Never,True,True,42,9
marin.stock_picking_type_5032,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5012,Interwarehouse CDG-LOM,Delivery,INTWH,CDG-INTWH-LOM,Manually,True,Never,True,True,44,9
marin.stock_picking_type_5033,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5013,Interwarehouse CDG-MICH,Delivery,INTWH,CDG-INTWH-MICH,Manually,True,Never,True,True,45,9
marin.stock_picking_type_5034,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5014,Interwarehouse CDG-MOCH,Delivery,INTWH,CDG-INTWH-MOCH,Manually,True,Never,True,True,46,9
marin.stock_picking_type_5035,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5015,Interwarehouse CDG-OBR,Delivery,INTWH,CDG-INTWH-OBR,Manually,True,Never,True,True,47,9
marin.stock_picking_type_5036,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5016,Interwarehouse CDG-SALT,Delivery,INTWH,CDG-INTWH-SALT,Manually,True,Never,True,True,48,9
marin.stock_picking_type_5037,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5017,Interwarehouse CDG-SJN,Delivery,INTWH,CDG-INTWH-SJN,Manually,True,Never,True,True,49,9
marin.stock_picking_type_5038,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5018,Interwarehouse CDG-SNT,Delivery,INTWH,CDG-INTWH-SNT,Manually,True,Never,True,True,50,9
marin.stock_picking_type_5039,marin.company_lmmr,marin.stock_warehouse_108,marin.stock_location_1058,marin.stock_location_5028,Interwarehouse OBR-SALT,Delivery,INTWH,OBR-INTWH-SALT,Manually,True,Never,True,True,61,9
marin.stock_picking_type_5040,marin.company_lmmr,marin.stock_warehouse_108,marin.stock_location_1058,marin.stock_location_5027,Interwarehouse OBR-MOCH,Delivery,INTWH,OBR-INTWH-MOCH,Manually,True,Never,True,True,60,9
marin.stock_picking_type_5041,marin.company_lmmr,marin.stock_warehouse_108,marin.stock_location_1058,marin.stock_location_5026,Interwarehouse OBR-CDG,Delivery,INTWH,OBR-INTWH-CDG,Manually,True,Never,True,True,59,9
marin.stock_picking_type_5042,marin.company_lmmr,marin.stock_warehouse_109,marin.stock_location_1066,marin.stock_location_5021,Interwarehouse LOM-CDG,Delivery,INTWH,LOM-INTWH-CDG,Manually,True,Never,True,True,55,9
marin.stock_picking_type_5043,marin.company_lmmr,marin.stock_warehouse_109,marin.stock_location_1066,marin.stock_location_5022,Interwarehouse LOM-SJN,Delivery,INTWH,LOM-INTWH-SJN,Manually,True,Never,True,,0,0
marin.stock_picking_type_5044,marin.company_lmmr,marin.stock_warehouse_110,marin.stock_location_1074,marin.stock_location_5023,Interwarehouse MICH-CDG,Delivery,INTWH,MICH-INTWH-CDG,Manually,True,Never,True,True,56,9
marin.stock_picking_type_5045,marin.company_lmmr,marin.stock_warehouse_111,marin.stock_location_1082,marin.stock_location_5029,Interwarehouse SALT-CDG,Delivery,INTWH,SALT-INTWH-CDG,Manually,True,Never,True,True,62,9
marin.stock_picking_type_5046,marin.company_lmmr,marin.stock_warehouse_112,marin.stock_location_1090,marin.stock_location_5025,Interwarehouse MOCH-OBR,Delivery,INTWH,MOCH-INTWH-OBR,Manually,True,Never,True,True,58,9
marin.stock_picking_type_5047,marin.company_lmmr,marin.stock_warehouse_112,marin.stock_location_1090,marin.stock_location_5024,Interwarehouse MOCH-CDG,Delivery,INTWH,MOCH-INTWH-CDG,Manually,True,Never,True,True,57,9
marin.stock_picking_type_5048,marin.company_lmmr,marin.stock_warehouse_113,marin.stock_location_1098,marin.stock_location_5019,Interwarehouse HMT-CDG,Delivery,INTWH,HMT-INTWH-CDG,Manually,True,Never,True,,54,9
marin.stock_picking_type_5049,marin.company_lmmr,marin.stock_warehouse_102,marin.stock_location_1010,marin.stock_location_5039,Ship orders,Delivery,SHIP,BAL-SHIP,Manually,True,Always,True,,11,10
marin.stock_picking_type_5050,marin.company_lmmr,marin.stock_warehouse_103,marin.stock_location_1018,marin.stock_location_5047,Ship orders,Delivery,SHIP,SJN-SHIP,Manually,True,Always,True,,12,0
marin.stock_picking_type_5051,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5040,Ship orders,Delivery,SHIP,CDG-SHIP,Manually,True,Always,True,,10,10
marin.stock_picking_type_5052,marin.company_lmmr,marin.stock_warehouse_108,marin.stock_location_1058,marin.stock_location_5045,Ship orders,Delivery,SHIP,OBR-SHIP,Manually,True,Always,True,,13,10
marin.stock_picking_type_5053,marin.company_lmmr,marin.stock_warehouse_109,marin.stock_location_1066,marin.stock_location_5042,Ship orders,Delivery,SHIP,LOM-SHIP,Manually,True,Always,True,,14,10
marin.stock_picking_type_5054,marin.company_lmmr,marin.stock_warehouse_110,marin.stock_location_1074,marin.stock_location_5043,Ship orders,Delivery,SHIP,MICH-SHIP,Manually,True,Always,True,,15,10
marin.stock_picking_type_5055,marin.company_lmmr,marin.stock_warehouse_111,marin.stock_location_1082,marin.stock_location_5046,Ship orders,Delivery,SHIP,SALT-SHIP,Manually,True,Always,True,,16,10
marin.stock_picking_type_5056,marin.company_lmmr,marin.stock_warehouse_112,marin.stock_location_1090,marin.stock_location_5044,Ship orders,Delivery,SHIP,MOCH-SHIP,Manually,True,Always,True,,17,10
marin.stock_picking_type_5057,marin.company_lmmr,marin.stock_warehouse_113,marin.stock_location_1098,marin.stock_location_5041,Ship orders,Delivery,SHIP,HMT-SHIP,Manually,True,Always,True,,18,10
marin.stock_picking_type_5058,marin.company_lmmr,marin.stock_warehouse_104,marin.stock_location_1026,marin.stock_location_5034,Ship orders 3P,Delivery,SHIP3P,CDG-SHIP3P,Manually,True,Always,True,,19,10
