"id","name","sequence","active","sale_selectable","company_id/id"
"marin.stock_route_5001","Intercompany transfer in 2 steps","43","True","",""
"marin.stock_route_5002","Interwarehouse transfer in 2 steps (ship + deliver) 3P","42","True","","marin.company_lmmr"
"marin.stock_route_5003","Interwarehouse transfer in 2 steps (ship + deliver) we ship","41","True","","marin.company_lmmr"
"marin.stock_route_5004","CODAGEM: Deliver in 2 steps (ship + deliver) 3P","31","True","True","marin.company_lmmr"
"marin.stock_route_5005","CODAGEM: Deliver in 2 steps (ship + deliver) we ship","30","True","True","marin.company_lmmr"
"marin.stock_route_5006","BALDERAS: Deliver in 2 steps (ship + deliver) we ship","32","True","","marin.company_lmmr"
"marin.stock_route_5007","SAN JUAN: Deliver in 2 steps (ship + deliver) we ship","38","True","","marin.company_lmmr"
"marin.stock_route_5008","HUAMANTLA: Deliver in 2 steps (ship + deliver) we ship","33","True","","marin.company_lmmr"
"marin.stock_route_5009","LOMITA: Deliver in 2 steps (ship + deliver) we ship","34","True","","marin.company_lmmr"
"marin.stock_route_5010","MICHOCAN: Deliver in 2 steps (ship + deliver) we ship","35","True","","marin.company_lmmr"
"marin.stock_route_5011","LOS MOCHIS: Deliver in 2 steps (ship + deliver) we ship","36","True","","marin.company_lmmr"
"marin.stock_route_5012","OBREGON: Deliver in 2 steps (ship + deliver) we ship","37","True","","marin.company_lmmr"
"marin.stock_route_5013","SALTILLO: Deliver in 2 steps (ship + deliver) we ship","39","True","","marin.company_lmmr"
"marin.stock_route_5014","CODAGEM: Deliver in 3 steps (ship + store + OBR: deliver) we ship","40","True","True","marin.company_lmmr"
