id,company_id/id,warehouse_id/id,route_id/id,picking_type_id/id,location_src_id/id,location_dest_id/id,active,group_propagation_option,action,procure_method,auto,sequence,name
marin.stock_rule_5001,marin.company_lmmr,,marin.stock_route_5001,marin.picking_type_1034,marin.stock_location_5001,marin.stock_location_1026,True,Propagate,Push To,Take From Stock,Manual Operation,20,Intercompany transfers: LMMG -> LMMR
marin.stock_rule_5002,marin.company_lmmg,,marin.stock_route_5001,marin.picking_type_42,marin.stock_location_5003,marin.stock_location_55,True,Propagate,Push To,Take From Stock,Manual Operation,20,Intercompany transfers: LMMR -> LMMG
marin.stock_rule_5003,marin.company_lmmr,,marin.stock_route_5003,marin.picking_type_1034,marin.stock_location_5007,marin.stock_location_1026,True,Propagate,Push To,Take From Stock,Manual Operation,20,Interwarehouse transit: BAL-CDG
marin.stock_rule_5004,marin.company_lmmr,,marin.stock_route_5003,marin.picking_type_1023,marin.stock_location_5009,marin.stock_location_1018,True,Propagate,Push To,Take From Stock,Manual Operation,39,Interwarehouse transit: BAL-SJN
marin.stock_rule_5005,marin.company_lmmr,,marin.stock_route_5003,marin.picking_type_1012,marin.stock_location_5010,marin.stock_location_1010,True,Propagate,Push To,Take From Stock,Manual Operation,21,Interwarehouse transit: CDG-BAL
marin.stock_rule_5006,marin.company_lmmr,,marin.stock_route_5003,marin.picking_type_1078,marin.stock_location_5015,marin.stock_location_1058,True,Propagate,Push To,Take From Stock,Manual Operation,22,Interwarehouse transit: CDG-CDO
marin.stock_rule_5007,marin.company_lmmr,,marin.stock_route_5003,marin.picking_type_1133,marin.stock_location_5011,marin.stock_location_1098,True,Propagate,Push To,Take From Stock,Manual Operation,23,Interwarehouse transit: CDG-HMT
marin.stock_rule_5008,marin.company_lmmr,,marin.stock_route_5003,marin.picking_type_1122,marin.stock_location_5014,marin.stock_location_1090,True,Propagate,Push To,Take From Stock,Manual Operation,24,Interwarehouse transit: CDG-LMO
marin.stock_rule_5009,marin.company_lmmr,,marin.stock_route_5003,marin.picking_type_1089,marin.stock_location_5012,marin.stock_location_1066,True,Propagate,Push To,Take From Stock,Manual Operation,25,Interwarehouse transit: CDG-LOM
marin.stock_rule_5010,marin.company_lmmr,,marin.stock_route_5003,marin.picking_type_1100,marin.stock_location_5013,marin.stock_location_1074,True,Propagate,Push To,Take From Stock,Manual Operation,26,Interwarehouse transit: CDG-MICH
