id,name,relative_uom_id/id,unspsc_code_id/id,package_type_id/id,relative_factor,active
uom_101,Mutuamente definido,uom.product_uom_unit,,,1.0,True
uom_102,Shipment,l10n_mx.product_uom_service_unit,product_unspsc.unspsc_code_SX,,1.0,True
uom_103,Box,uom.product_uom_unit,product_unspsc.unspsc_code_XBX,,1.0,True
uom_104,Not available,uom.product_uom_unit,product_unspsc.unspsc_code_XNA,,1.0,True
uom_105,One,uom.product_uom_unit,product_unspsc.unspsc_code_C62,,1.0,True
uom_106,0.010kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,10.0,True
uom_107,0.015kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,15.0,True
uom_108,0.100kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,100.0,True
uom_109,0.130kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,130.0,True
uom_110,0.150kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,150.0,True
uom_111,0.160kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,160.0,True
uom_112,0.200kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,200.0,True
uom_113,0.212kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,212.0,True
uom_114,0.250kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,250.0,True
uom_115,0.300kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,300.0,True
uom_116,0.500kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,500.0,True
uom_117,0.600kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,600.0,True
uom_118,0.737kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,737.0,True
uom_119,0.750kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,750.0,True
uom_120,0.800kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,800.0,True
uom_121,2kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,2.0,True
uom_122,3.2kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,3.2,True
uom_123,5kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,5.0,True
uom_124,7kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,7.0,True
uom_125,7.5kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,7.5,True
uom_126,9kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,9.0,True
uom_127,10kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,10.0,True
uom_128,12kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,12.0,True
uom_129,15kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,15.0,True
uom_130,20kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,20.0,True
uom_131,25kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,25.0,True
uom_132,30kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,30.0,True
uom_133,50kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,50.0,True
uom_134,200kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,200.0,True
uom_135,cm³,,product_unspsc.unspsc_code_CMQ,,1.0,True
uom_136,0.100L,marin.uom_135,product_unspsc.unspsc_code_EA,,100.0,True
uom_137,0.125L,marin.uom_135,product_unspsc.unspsc_code_EA,,125.0,True
uom_138,0.150L,marin.uom_135,product_unspsc.unspsc_code_EA,,150.0,True
uom_139,0.200L,marin.uom_135,product_unspsc.unspsc_code_EA,,200.0,True
uom_140,0.250L,marin.uom_135,product_unspsc.unspsc_code_EA,,250.0,True
uom_141,0.300L,marin.uom_135,product_unspsc.unspsc_code_EA,,300.0,True
uom_142,0.330L,marin.uom_135,product_unspsc.unspsc_code_EA,,330.0,True
uom_143,0.350L,marin.uom_135,product_unspsc.unspsc_code_EA,,350.0,True
uom_144,0.450L,marin.uom_135,product_unspsc.unspsc_code_EA,,450.0,True
uom_145,0.500L,marin.uom_135,product_unspsc.unspsc_code_EA,,500.0,True
uom_146,0.600L,marin.uom_135,product_unspsc.unspsc_code_EA,,600.0,True
uom_147,0.900L,marin.uom_135,product_unspsc.unspsc_code_EA,,900.0,True
uom_148,0.950L,marin.uom_135,product_unspsc.unspsc_code_EA,,950.0,True
uom_149,0.960L,marin.uom_135,product_unspsc.unspsc_code_EA,,960.0,True
uom_150,0.970L,marin.uom_135,product_unspsc.unspsc_code_EA,,970.0,True
uom_151,0.975L,marin.uom_135,product_unspsc.unspsc_code_EA,,975.0,True
uom_152,1.6L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,1.6,True
uom_153,4L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,4.0,True
uom_154,5L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,5.0,True
uom_155,9.5L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,9.5,True
uom_156,10L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,10.0,True
uom_157,18L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,18.0,True
uom_158,19L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,19.0,True
uom_159,20L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,20.0,True
uom_160,200L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,200.0,True
uom_161,1000L,uom.product_uom_cubic_meter,product_unspsc.unspsc_code_EA,,1.0,True
uom_162,Service unit,l10n_mx.product_uom_service_unit,product_unspsc.unspsc_code_E48,,1.0,True
uom_163,Activity,l10n_mx.product_uom_activity,product_unspsc.unspsc_code_ACT,,1.0,True
uom_164,0.130kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,130.0,True
uom_165,0.060kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,60.0,True
