id,currency_id/id,name,code,account_type,reconcile,create_asset,deprecated,opening_credit,opening_debit,opening_balance,tag_ids/id,company_ids/id
account_1001_102_01_000,,Bank suspense account,102.01.000,Current Assets,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1002_102_01_111,,Liquidity transfer,102.01.111,Current Assets,True,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1003_102_01_112,,Balance transfer between clients,102.01.112,Current Assets,True,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1004_105_01_001,,Domestic customers FF,105.01.001,Receivable,True,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1005_105_01_002,,Domestic customers NF,105.01.002,Receivable,True,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1006_107_01_001,,Officers and employees FF,107.01.001,Payable,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1007_107_01_002,,Officers and employees NF,107.01.002,Payable,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1008_113_01_001,,VAT in favor,113.01.001,Current Assets,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1009_113_02_001,,Income tax (ISR) in favor,113.02.001,Current Assets,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1010_113_06_001,,Employment subsidy actually delivered,113.06.001,Current Assets,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1011_113_08_001,,Other taxes in favor,113.08.001,Current Assets,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1012_114_01_001,,Provisional income tax (ISR) payments,114.01.001,Current Assets,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1013_115_01_001,,Inventory FF,115.01.001,Current Assets,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1014_115_01_002,,Inventory NF,115.01.002,Current Assets,,No,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
