id,account_prefix,analytic_distribution,company_id/id,product_id/id,vehicle_id/id
analytic_distribution_model_1001,401.04.00,"{""1003"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1142,
analytic_distribution_model_1002,501.01.00,"{""1003"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1142,
analytic_distribution_model_1003,401.04.00,"{""1004"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1143,
analytic_distribution_model_1004,501.01.00,"{""1004"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1143,
analytic_distribution_model_1005,401.04.00,"{""1005"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1144,
analytic_distribution_model_1006,501.01.00,"{""1005"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1144,
analytic_distribution_model_1007,401.04.00,"{""1006"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1145,
analytic_distribution_model_1008,501.01.00,"{""1006"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1145,
analytic_distribution_model_1009,401.04.00,"{""1007"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1151,
analytic_distribution_model_1010,501.01.00,"{""1007"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1151,
analytic_distribution_model_1011,401.04.00,"{""1008"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1156,
analytic_distribution_model_1012,501.01.00,"{""1008"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1156,
analytic_distribution_model_1013,401.04.00,"{""1009"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1157,
analytic_distribution_model_1014,501.01.00,"{""1009"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1157,
analytic_distribution_model_1015,401.04.00,"{""1010"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1158,
analytic_distribution_model_1016,501.01.00,"{""1010"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1158,
analytic_distribution_model_1017,401.04.00,"{""1012"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1160,
analytic_distribution_model_1018,501.01.00,"{""1012"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1160,
analytic_distribution_model_1019,401.04.00,"{""1016"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1162,
analytic_distribution_model_1020,501.01.00,"{""1016"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1162,
analytic_distribution_model_1021,401.04.00,"{""1017"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1163,
analytic_distribution_model_1022,501.01.00,"{""1017"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1163,
analytic_distribution_model_1023,401.04.00,"{""1018"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1165,
analytic_distribution_model_1024,501.01.00,"{""1018"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1165,
analytic_distribution_model_1025,401.04.00,"{""1021"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1177,
analytic_distribution_model_1026,501.01.00,"{""1021"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1177,
analytic_distribution_model_1027,401.04.00,"{""1022"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1178,
analytic_distribution_model_1028,501.01.00,"{""1022"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1178,
analytic_distribution_model_1029,401.04.00,"{""1024"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1194,
analytic_distribution_model_1030,501.01.00,"{""1024"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1194,
analytic_distribution_model_1031,401.04.00,"{""1025"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1195,
analytic_distribution_model_1032,501.01.00,"{""1025"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1195,
analytic_distribution_model_1033,401.04.00,"{""1026"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1197,
analytic_distribution_model_1034,501.01.00,"{""1026"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1197,
analytic_distribution_model_1035,401.04.00,"{""1027"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1198,
analytic_distribution_model_1036,501.01.00,"{""1027"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1198,
analytic_distribution_model_1037,401.04.00,"{""1029"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1201,
analytic_distribution_model_1038,501.01.00,"{""1029"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1201,
analytic_distribution_model_1039,401.04.00,"{""1030"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1202,
analytic_distribution_model_1040,501.01.00,"{""1030"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1202,
analytic_distribution_model_1041,401.04.00,"{""1032"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1205,
analytic_distribution_model_1042,501.01.00,"{""1032"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1205,
analytic_distribution_model_1043,401.04.00,"{""1033"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1206,
analytic_distribution_model_1044,501.01.00,"{""1033"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1206,
analytic_distribution_model_1045,401.04.00,"{""1034"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1207,
analytic_distribution_model_1046,501.01.00,"{""1034"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1207,
analytic_distribution_model_1047,401.04.00,"{""1035"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1208,
analytic_distribution_model_1048,501.01.00,"{""1035"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1208,
analytic_distribution_model_1049,401.04.00,"{""1036"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1212,
analytic_distribution_model_1050,501.01.00,"{""1036"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1212,
analytic_distribution_model_1051,401.04.00,"{""1037"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1213,
analytic_distribution_model_1052,501.01.00,"{""1037"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1213,
analytic_distribution_model_1053,401.04.00,"{""1040"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1219,
analytic_distribution_model_1054,501.01.00,"{""1040"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1219,
analytic_distribution_model_1055,401.04.00,"{""1041"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1220,
analytic_distribution_model_1056,501.01.00,"{""1041"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1220,
analytic_distribution_model_1057,401.04.00,"{""1039"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1221,
analytic_distribution_model_1058,501.01.00,"{""1039"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1221,
analytic_distribution_model_1059,401.04.00,"{""1042"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1222,
analytic_distribution_model_1060,501.01.00,"{""1042"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1222,
analytic_distribution_model_1061,401.04.00,"{""1043"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1223,
analytic_distribution_model_1062,501.01.00,"{""1043"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1223,
analytic_distribution_model_1063,401.04.00,"{""1046"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1227,
analytic_distribution_model_1064,501.01.00,"{""1046"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1227,
analytic_distribution_model_1065,401.04.00,"{""1047"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1229,
analytic_distribution_model_1066,501.01.00,"{""1047"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1229,
analytic_distribution_model_1067,401.04.00,"{""1048"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1230,
analytic_distribution_model_1068,501.01.00,"{""1048"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1230,
analytic_distribution_model_1069,401.04.00,"{""1049"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1231,
analytic_distribution_model_1070,501.01.00,"{""1049"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1231,
analytic_distribution_model_1071,401.04.00,"{""1051"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1233,
analytic_distribution_model_1072,501.01.00,"{""1051"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1233,
analytic_distribution_model_1073,401.04.00,"{""1052"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1235,
analytic_distribution_model_1074,501.01.00,"{""1052"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1235,
analytic_distribution_model_1075,401.04.00,"{""1053"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1236,
analytic_distribution_model_1076,501.01.00,"{""1053"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1236,
analytic_distribution_model_1077,401.04.00,"{""1054"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1237,
analytic_distribution_model_1078,501.01.00,"{""1054"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1237,
analytic_distribution_model_1079,401.04.00,"{""1055"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1238,
analytic_distribution_model_1080,501.01.00,"{""1055"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1238,
analytic_distribution_model_1081,401.04.00,"{""1056"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1239,
analytic_distribution_model_1082,501.01.00,"{""1056"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1239,
analytic_distribution_model_1083,401.04.00,"{""1057"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1256,
analytic_distribution_model_1084,501.01.00,"{""1057"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1256,
analytic_distribution_model_1085,401.04.00,"{""1058"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1257,
analytic_distribution_model_1086,501.01.00,"{""1058"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1257,
analytic_distribution_model_1087,401.04.00,"{""1059"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1258,
analytic_distribution_model_1088,501.01.00,"{""1059"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1258,
analytic_distribution_model_1089,401.04.00,"{""1064"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1268,
analytic_distribution_model_1090,501.01.00,"{""1064"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1268,
analytic_distribution_model_1091,401.04.00,"{""1065"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1270,
analytic_distribution_model_1092,501.01.00,"{""1065"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1270,
analytic_distribution_model_1093,401.04.00,"{""1066"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1273,
analytic_distribution_model_1094,501.01.00,"{""1066"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1273,
analytic_distribution_model_1095,401.04.00,"{""1067"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1274,
analytic_distribution_model_1096,501.01.00,"{""1067"": 100.0}",marin_data.company_lmmr,marin_data.product_product_1274,
