"id","name","state","company_id/id","account_asset_id/id","account_depreciation_expense_id/id","account_depreciation_id/id","journal_id/id","method","method_number","method_period","prorata_computation_type","prorata_date","acquisition_date","active"
"asset_eqt01_lmmr","Automovil FF","Model","marin_data.company_lmmr","marin_data.account_154_01_001_lmmr","marin_data.account_504_09_001_lmmr","marin_data.account_154_01_001_lmmr","marin_data.journal_eqt01_lmmr","Straight Line","48","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_eqt02_lmmr","Automovil NF","Model","marin_data.company_lmmr","marin_data.account_154_01_002_lmmr","marin_data.account_504_09_002_lmmr","marin_data.account_154_01_002_lmmr","marin_data.journal_eqt02_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"asset_eqc01_lmmr","Equipo de computo FF","Model","marin_data.company_lmmr","marin_data.account_156_01_001_lmmr","marin_data.account_504_11_001_lmmr","marin_data.account_156_01_001_lmmr","marin_data.journal_eqc01_lmmr","Straight Line","40","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_eqtl1_lmmr","Equipo de telecom FF","Model","marin_data.company_lmmr","marin_data.account_165_01_001_lmmr","marin_data.account_504_12_001_lmmr","marin_data.account_165_01_001_lmmr","marin_data.journal_eqtl1_lmmr","Straight Line","40","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_maq01_lmmr","Maquinaria FF","Model","marin_data.company_lmmr","marin_data.account_153_01_001_lmmr","marin_data.account_504_08_001_lmmr","marin_data.account_153_01_001_lmmr","marin_data.journal_maq01_lmmr","Straight Line","120","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_maq02_lmmr","Maquinaria NF","Model","marin_data.company_lmmr","marin_data.account_153_01_002_lmmr","marin_data.account_504_08_002_lmmr","marin_data.account_153_01_002_lmmr","marin_data.journal_maq02_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"asset_moq01_lmmr","Mobiliario oficina FF","Model","marin_data.company_lmmr","marin_data.account_155_01_001_lmmr","marin_data.account_504_10_001_lmmr","marin_data.account_155_01_001_lmmr","marin_data.journal_moq01_lmmr","Straight Line","120","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_moq02_lmmr","Mobiliario oficina NF","Model","marin_data.company_lmmr","marin_data.account_155_01_002_lmmr","marin_data.account_504_10_002_lmmr","marin_data.account_155_01_002_lmmr","marin_data.journal_moq02_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"asset_trr01_lmmr","Terrenos FF","Model","marin_data.company_lmmr","marin_data.account_151_01_001_lmmr","marin_data.account_504_14_001_lmmr","marin_data.account_151_01_001_lmmr","marin_data.journal_trr01_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"asset_trr02_lmmr","Terrenos NF","Model","marin_data.company_lmmr","marin_data.account_151_01_002_lmmr","marin_data.account_504_14_002_lmmr","marin_data.account_151_01_002_lmmr","marin_data.journal_trr02_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"asset_eqt01_lmmg","Automovil FF","Model","marin_data.company_lmmg","marin_data.account_154_01_001_lmmg","marin_data.account_504_09_001_lmmg","marin_data.account_154_01_001_lmmg","marin_data.journal_eqt01_lmmg","Straight Line","48","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_eqt02_lmmg","Automovil NF","Model","marin_data.company_lmmg","marin_data.account_154_01_002_lmmg","marin_data.account_504_09_002_lmmg","marin_data.account_154_01_002_lmmg","marin_data.journal_eqt02_lmmg","Straight Line","0","Years","Constant Periods","2024-02-08","2024-02-08","True"
"asset_eqc01_lmmg","Equipo de computo FF","Model","marin_data.company_lmmg","marin_data.account_156_01_001_lmmg","marin_data.account_504_11_001_lmmg","marin_data.account_156_01_001_lmmg","marin_data.journal_eqc01_lmmg","Straight Line","40","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_eqtl1_lmmg","Equipo de telecom FF","Model","marin_data.company_lmmg","marin_data.account_165_01_001_lmmg","marin_data.account_504_12_001_lmmg","marin_data.account_165_01_001_lmmg","marin_data.journal_eqtl1_lmmg","Straight Line","40","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_maq01_lmmg","Maquinaria FF","Model","marin_data.company_lmmg","marin_data.account_153_01_001_lmmg","marin_data.account_504_08_001_lmmg","marin_data.account_153_01_001_lmmg","marin_data.journal_maq01_lmmg","Straight Line","120","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_maq02_lmmg","Maquinaria NF","Model","marin_data.company_lmmg","marin_data.account_153_01_002_lmmg","marin_data.account_504_08_002_lmmg","marin_data.account_153_01_002_lmmg","marin_data.journal_maq02_lmmg","Straight Line","0","Years","Constant Periods","2024-06-30","2024-06-30","True"
"asset_moq01_lmmg","Mobiliario oficina FF","Model","marin_data.company_lmmg","marin_data.account_155_01_001_lmmg","marin_data.account_504_10_001_lmmg","marin_data.account_155_01_001_lmmg","marin_data.journal_moq01_lmmg","Straight Line","120","Months","Constant Periods","2024-01-01","2024-01-01","True"
"asset_moq02_lmmg","Mobiliario oficina NF","Model","marin_data.company_lmmg","marin_data.account_155_01_002_lmmg","marin_data.account_504_10_002_lmmg","marin_data.account_155_01_002_lmmg","marin_data.journal_moq02_lmmg","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"asset_trr01_lmmg","Terrenos FF","Model","marin_data.company_lmmg","marin_data.account_151_01_001_lmmg","marin_data.account_504_14_001_lmmg","marin_data.account_151_01_001_lmmg","marin_data.journal_trr01_lmmg","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"asset_trr02_lmmg","Terrenos NF","Model","marin_data.company_lmmg","marin_data.account_151_01_002_lmmg","marin_data.account_504_14_002_lmmg","marin_data.account_151_01_002_lmmg","marin_data.journal_trr02_lmmg","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
