id,name,type,code,sequence,color,active,show_on_dashboard,refund_sequence,payment_sequence,x_treatment,company_id/id,currency_id/id,default_account_id/id,default_payable_account_id/id,default_receivable_account_id/id,default_refund_account_id/id,loss_account_id/id,profit_account_id/id,suspense_account_id/id,account_control_ids/id,user_can_access_ids/id,journal_group_ids/id
journal_ant01_lmmr,Suppliers advances FF,Cash,ANT01,29,10,True,,,,Fiscal real,marin_data.company_lmmr,,marin_data.account_120_01_001,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_120_01_001,marin_data.account_201_01_001",,
journal_ant02_lmmr,Suppliers advances NF,Cash,ANT02,32,10,True,,,,Not Fiscal real,marin_data.company_lmmr,,marin_data.account_120_01_002,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_120_01_002,marin_data.account_201_01_002",,marin_data.journal_group_2
journal_efc01_lmmr,Cash Main,Cash,EFC01,10,10,True,True,,,Not Fiscal real,marin_data.company_lmmr,,marin_data.account_101_01_001_lmmr,marin_data.account_201_01_002,marin_data.account_105_01_002,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_101_01_001_lmmr,marin_data.account_102_01_111,marin_data.account_105_01_002,marin_data.account_201_01_001,marin_data.account_201_01_002",,marin_data.journal_group_2
journal_efc02_lmmr,Cash USD,Cash,EFC02,24,10,True,,,,Not Fiscal real,marin_data.company_lmmr,base.USD,marin_data.account_101_01_003_lmmr,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,,,marin_data.journal_group_2
journal_efc04_lmmr,Cash BAL,Cash,EFC04,20,10,True,,,,Not Fiscal real,marin_data.company_lmmr,,marin_data.account_101_01_005_lmmr,marin_data.account_201_01_002,marin_data.account_105_01_002,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_101_01_001_lmmr,marin_data.account_101_01_005_lmmr,marin_data.account_102_01_111,marin_data.account_105_01_002,marin_data.account_201_01_002",,marin_data.journal_group_2
journal_efc05_lmmr,Cash SJN,Cash,EFC05,22,10,True,,,,Not Fiscal real,marin_data.company_lmmr,,marin_data.account_101_01_007_lmmr,marin_data.account_201_01_002,marin_data.account_105_01_002,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_101_01_007_lmmr,marin_data.account_102_01_111,marin_data.account_105_01_002,marin_data.account_201_01_002,marin_data.account_703_21_002",,marin_data.journal_group_2
journal_eft_lmmr,Payments done by thirth party in name of the company FF,Cash,EFT,37,9,True,,,,Not Fiscal real,marin_data.company_lmmr,,marin_data.account_202_03_001,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_201_01_001,marin_data.account_201_01_002,marin_data.account_202_03_001",,
journal_bnc01_lmmr,Bank BBVA 0194254961,Bank,BNC01,11,10,True,True,,,Fiscal real,marin_data.company_lmmr,,marin_data.account_102_01_001_lmmr,marin_data.account_201_01_001,marin_data.account_105_01_001,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_102_01_000,marin_data.account_102_01_001_lmmr,marin_data.account_102_01_020_lmmr,marin_data.account_102_01_111,marin_data.account_105_01_001,marin_data.account_120_01_001,marin_data.account_201_01_001,marin_data.account_201_02_001,marin_data.account_202_03_001,marin_data.account_202_03_003_lmmr,marin_data.account_202_03_099,marin_data.account_210_01_001,marin_data.account_252_07_001,marin_data.account_401_04_014,marin_data.account_401_04_015,marin_data.account_701_01_001,marin_data.account_702_01_001,marin_data.account_703_21_001,marin_data.account_704_23_001",,
journal_bnc03_lmmr,Bank BBVA CC 4406 (5619),Bank,BNC03,69,1,True,,,,Fiscal real,marin_data.company_lmmr,,marin_data.account_202_03_002_lmmr,marin_data.account_201_01_001,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_102_01_000,marin_data.account_102_01_111,marin_data.account_201_01_001,marin_data.account_201_02_001,marin_data.account_202_03_002_lmmr,marin_data.account_703_21_001,marin_data.account_704_23_001",,
journal_bnc04_lmmr,Bank BBVA TN 5064,Bank,BNC04,70,1,True,,,,Fiscal real,marin_data.company_lmmr,,marin_data.account_202_03_004_lmmr,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_102_01_111,marin_data.account_105_01_001,marin_data.account_201_01_001,marin_data.account_202_03_003_lmmr,marin_data.account_202_03_004_lmmr",,
journal_bnc05_lmmr,Bank Banorte 0313328770,Bank,BNC05,83,10,,True,,,Fiscal real,marin_data.company_lmmr,,marin_data.account_102_01_002_lmmr,,,,marin_data.account_703_21_002,marin_data.account_704_23_002,marin_data.account_102_01_000,"marin_data.account_102_01_002_lmmr,marin_data.account_102_01_111,marin_data.account_105_01_001,marin_data.account_201_01_001,marin_data.account_202_03_003_lmmr,marin_data.account_401_04_014,marin_data.account_703_21_001,marin_data.account_704_23_001",,
