"id","name","sequence","display_on_invoice","active","company_id/id","line_ids/id","line_ids/delay_type","line_ids/nb_days","line_ids/value","line_ids/value_amount"
"marin.payment_term_101","4.00%","57","True","True","","marin.payment_term_line_101","Days after invoice date","0","Percent","96.0"
"","","","","","","marin.payment_term_line_102","Days after invoice date","1","Percent","4.0"
"marin.payment_term_102","4.25%","56","True","True","","marin.payment_term_line_103","Days after invoice date","0","Percent","95.75"
"","","","","","","marin.payment_term_line_104","Days after invoice date","1","Percent","4.25"
"marin.payment_term_103","5.00%","55","True","True","","marin.payment_term_line_105","Days after invoice date","0","Percent","95.0"
"","","","","","","marin.payment_term_line_106","Days after invoice date","1","Percent","5.0"
"marin.payment_term_104","6.00%","54","True","True","","marin.payment_term_line_107","Days after invoice date","0","Percent","94.0"
"","","","","","","marin.payment_term_line_108","Days after invoice date","1","Percent","6.0"
"marin.payment_term_105","6.50%","53","True","True","","marin.payment_term_line_109","Days after invoice date","0","Percent","93.5"
"","","","","","","marin.payment_term_line_110","Days after invoice date","1","Percent","6.5"
"marin.payment_term_106","7% + 6%","38","True","","","marin.payment_term_line_111","Days after invoice date","0","Percent","87.42"
"","","","","","","marin.payment_term_line_112","Days after invoice date","1","Percent","12.58"
"marin.payment_term_107","7% + 7%","37","True","","","marin.payment_term_line_113","Days after invoice date","0","Percent","86.49"
"","","","","","","marin.payment_term_line_114","Days after invoice date","1","Percent","13.51"
"marin.payment_term_108","7.00%","52","True","True","","marin.payment_term_line_115","Days after invoice date","0","Percent","93.0"
"","","","","","","marin.payment_term_line_116","Days after invoice date","1","Percent","7.0"
"marin.payment_term_109","7.08%","51","True","True","","marin.payment_term_line_117","Days after invoice date","0","Percent","92.92"
"","","","","","","marin.payment_term_line_118","Days after invoice date","1","Percent","7.08"
"marin.payment_term_110","7.37%","50","True","True","","marin.payment_term_line_119","Days after invoice date","0","Percent","92.63"
"","","","","","","marin.payment_term_line_120","Days after invoice date","1","Percent","7.37"
"marin.payment_term_111","7.40%","49","True","True","","marin.payment_term_line_121","Days after invoice date","0","Percent","92.6"
"","","","","","","marin.payment_term_line_122","Days after invoice date","1","Percent","7.4"
"marin.payment_term_112","7.50%","48","True","True","","marin.payment_term_line_123","Days after invoice date","0","Percent","92.5"
"","","","","","","marin.payment_term_line_124","Days after invoice date","1","Percent","7.5"
"marin.payment_term_113","7.64%","47","True","True","","marin.payment_term_line_125","Days after invoice date","0","Percent","92.36"
"","","","","","","marin.payment_term_line_126","Days after invoice date","1","Percent","7.64"
"marin.payment_term_114","7.72%","46","True","True","","marin.payment_term_line_127","Days after invoice date","0","Percent","92.28"
"","","","","","","marin.payment_term_line_128","Days after invoice date","1","Percent","7.72"
"marin.payment_term_115","8% + 8%","33","True","True","","marin.payment_term_line_129","Days after invoice date","0","Percent","84.64"
"","","","","","","marin.payment_term_line_130","Days after invoice date","1","Percent","15.36"
"marin.payment_term_116","8% + 9%","34","True","","","marin.payment_term_line_131","Days after invoice date","0","Percent","83.72"
"","","","","","","marin.payment_term_line_132","Days after invoice date","1","Percent","16.28"
"marin.payment_term_117","8.00%","45","True","True","","marin.payment_term_line_133","Days after invoice date","0","Percent","92.0"
"","","","","","","marin.payment_term_line_134","Days after invoice date","1","Percent","8.0"
"marin.payment_term_118","8.00% UPL por terceros","52","True","","","marin.payment_term_line_135","Days after invoice date","0","Percent","100.0"
"marin.payment_term_119","8.00% UPL precio directo","51","True","","","marin.payment_term_line_136","Days after invoice date","0","Percent","100.0"
"marin.payment_term_120","8.50%","44","True","True","","marin.payment_term_line_137","Days after invoice date","0","Percent","91.5"
"","","","","","","marin.payment_term_line_138","Days after invoice date","1","Percent","8.5"
"marin.payment_term_121","8.70%","43","True","True","","marin.payment_term_line_139","Days after invoice date","0","Percent","91.3"
