id,name,invoice_label,type_tax_use,amount_type,amount,active,include_base_amount,is_base_affected,analytic,tax_exigibility,sequence,l10n_mx_tax_type,l10n_mx_factor_type,cash_basis_transition_account_id/id,tax_group_id/id,country_id/id,company_id/id
tax_1001_dsa_5_0_601_lmmr,DSA 5.0% 601,DSA5.0%,Purchases,Percentage,5.0,True,,,True,Based on Invoice,63,IVA,Tasa,,marin_data.tax_group_1001_dsa_lmmr,base.mx,marin_data.company_lmmr
tax_1002_dsa_5_0_602_lmmr,DSA 5.0% 602,DSA5.0%,Purchases,Percentage,5.0,True,,,True,Based on Invoice,64,IVA,Tasa,,marin_data.tax_group_1001_dsa_lmmr,base.mx,marin_data.company_lmmr
tax_1003_ieps_26_5_601_lmmr,IEPS 26.5% 601,IEPS26.5%,Purchases,Percentage,26.5,True,True,,True,Based on Payment,49,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1003_ieps_26_5_lmmr,base.mx,marin_data.company_lmmr
tax_1004_ieps_26_5_602_lmmr,IEPS 26.5% 602,IEPS26.5%,Purchases,Percentage,26.5,True,True,,True,Based on Payment,49,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1003_ieps_26_5_lmmr,base.mx,marin_data.company_lmmr
tax_1005_ieps_3_0_telecom_601_lmmr,IEPS 3.0% telecom 601,IEPS3.0% telecom,Purchases,Percentage,3.0,True,,True,True,Based on Payment,3,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1004_ieps_3_0_lmmr,base.mx,marin_data.company_lmmr
tax_1006_ieps_3_0_telecom_602_lmmr,IEPS 3.0% telecom 602,IEPS3.0% telecom,Purchases,Percentage,3.0,True,,True,True,Based on Payment,4,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1004_ieps_3_0_lmmr,base.mx,marin_data.company_lmmr
tax_1007_ieps_53_0_601_lmmr,IEPS 53.0% 601,IEPS53.0%,Purchases,Percentage,53.0,True,True,True,True,Based on Payment,54,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1006_ieps_53_0_lmmr,base.mx,marin_data.company_lmmr
tax_1008_ieps_53_0_602_lmmr,IEPS 53.0% 602,IEPS53.0%,Purchases,Percentage,53.0,True,True,True,True,Based on Payment,54,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1006_ieps_53_0_lmmr,base.mx,marin_data.company_lmmr
tax_1009_ieps_8_0_601_lmmr,IEPS 8.0% 601,IEPS8.0%,Purchases,Percentage,8.0,True,,,True,Based on Payment,40,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1007_ieps_8_0_lmmr,base.mx,marin_data.company_lmmr
tax_1010_ieps_8_0_602_lmmr,IEPS 8.0% 602,IEPS8.0%,Purchases,Percentage,8.0,True,,,True,Based on Payment,40,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1007_ieps_8_0_lmmr,base.mx,marin_data.company_lmmr
tax_1011_ieps_0_0_lmmr,IEPS 0.0%,IEPS0.0%,Purchases,Percentage,0.0,True,,,,Based on Payment,28,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin_data.company_lmmr
tax_1012_ieps_3_0_lmmr,IEPS 3.0%,IEPS pesticides,Sales,Percentage,3.0,True,,,,Based on Payment,30,IEPS,Tasa,marin_data.account_209_02_001_lmmr,marin_data.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin_data.company_lmmr
tax_1013_ieps_6_0_lmmr,IEPS 6.0%,IEPS6.0%,Purchases,Percentage,6.0,True,,,True,Based on Payment,36,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin_data.company_lmmr
tax_1014_ieps_6_0_lmmr,IEPS 6.0%,IEPS6.0%,Sales,Percentage,6.0,True,,,,Based on Payment,37,IEPS,Tasa,marin_data.account_209_02_001_lmmr,marin_data.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin_data.company_lmmr
tax_1015_ieps_7_0_lmmr,IEPS 7.0%,IEPS7.0%,Purchases,Percentage,7.0,True,,,True,Based on Payment,38,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin_data.company_lmmr
tax_1016_ieps_7_0_lmmr,IEPS 7.0%,IEPS7.0%,Sales,Percentage,7.0,True,,,,Based on Payment,39,IEPS,Tasa,marin_data.account_209_02_001_lmmr,marin_data.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin_data.company_lmmr
tax_1017_ieps_9_0_lmmr,IEPS 9.0%,IEPS9.0%,Purchases,Percentage,9.0,True,,,True,Based on Payment,43,IEPS,Tasa,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin_data.company_lmmr
tax_1018_ieps_9_0_lmmr,IEPS 9.0%,IEPS9.0%,Sales,Percentage,9.0,True,,,,Based on Payment,44,IEPS,Tasa,marin_data.account_209_02_001_lmmr,marin_data.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin_data.company_lmmr
tax_1019_ieps_exempt_lmmr,IEPS exempt,IEPS exempt,Purchases,Percentage,0.0,True,,,,Based on Payment,27,IEPS,Exento,marin_data.account_119_03_001_lmmr,marin_data.tax_group_1008_ieps_pesticides_lmmr,base.mx,marin_data.company_lmmr
tax_1020_ish_2_0_601_lmmr,ISH 2.0% 601,ISH2.0%,Purchases,Percentage,2.0,True,,,True,Based on Invoice,55,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1021_ish_2_0_602_lmmr,ISH 2.0% 602,ISH2.0%,Purchases,Percentage,2.0,True,,,True,Based on Invoice,56,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1022_ish_3_0_601_lmmr,ISH 3.0% 601,ISH3.0%,Purchases,Percentage,3.0,True,,,True,Based on Invoice,57,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1023_ish_3_0_602_lmmr,ISH 3.0% 602,ISH3.0%,Purchases,Percentage,3.0,True,,,True,Based on Invoice,58,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1024_ish_3_5_601_lmmr,ISH 3.5% 601,ISH3.5%,Purchases,Percentage,3.5,True,,,True,Based on Invoice,59,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1025_ish_3_5_602_lmmr,ISH 3.5% 602,ISH3.5%,Purchases,Percentage,3.5,True,,,True,Based on Invoice,60,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1026_ish_4_0_601_lmmr,ISH 4.0% 601,ISH4.0%,Purchases,Percentage,4.0,True,,,True,Based on Invoice,61,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1027_ish_4_0_602_lmmr,ISH 4.0% 602,ISH4.0%,Purchases,Percentage,4.0,True,,,True,Based on Invoice,62,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1028_income_tax_10_0_retention_leasing_lmmr,Income tax 10.0% retention leasing,ISR10.0%,Sales,Percentage,-10.0,,,,,Based on Payment,2,ISR,Tasa,marin_data.account_216_03_002_lmmr,marin_data.tax_group_1010_isr_10_0_retention_lmmr,base.mx,marin_data.company_lmmr
tax_1029_vat_0_0_lmmr,VAT 0.0%,VAT0.0%,Purchases,Percentage,0.0,True,,,,Based on Payment,8,IVA,Tasa,marin_data.account_119_01_001_lmmr,marin_data.tax_group_1012_vat_0_0_lmmr,base.mx,marin_data.company_lmmr
tax_1030_vat_0_0_lmmr,VAT 0.0%,VAT0.0%,Sales,Percentage,0.0,True,,,,Based on Payment,11,IVA,Tasa,marin_data.account_209_01_001_lmmr,marin_data.tax_group_1012_vat_0_0_lmmr,base.mx,marin_data.company_lmmr
tax_1031_vat_0_0_non_deductible_lmmr,VAT 0.0% non deductible,VAT0.0% non deduc,Purchases,Percentage,0.0,True,,,,Based on Payment,9,IVA,Tasa,marin_data.account_119_01_002_lmmr,marin_data.tax_group_1012_vat_0_0_lmmr,base.mx,marin_data.company_lmmr
