id,tax_id/id,account_id/id,tag_ids/id
marin.tax_repartition_line_5002,marin.tax_1001_dsa_5_0_601_lmmr,marin.account_601_52_001_lmmr,
marin.tax_repartition_line_5004,marin.tax_1001_dsa_5_0_601_lmmr,marin.account_601_52_001_lmmr,
marin.tax_repartition_line_5006,marin.tax_1002_dsa_5_0_602_lmmr,marin.account_602_52_001_lmmr,
marin.tax_repartition_line_5008,marin.tax_1002_dsa_5_0_602_lmmr,marin.account_602_52_001_lmmr,
marin.tax_repartition_line_5010,marin.tax_1003_ieps_26_5_601_lmmr,marin.account_601_15_001_lmmr,
marin.tax_repartition_line_5012,marin.tax_1003_ieps_26_5_601_lmmr,marin.account_601_15_001_lmmr,
marin.tax_repartition_line_5014,marin.tax_1004_ieps_26_5_602_lmmr,marin.account_602_61_001_lmmr,
marin.tax_repartition_line_5016,marin.tax_1004_ieps_26_5_602_lmmr,marin.account_602_61_001_lmmr,
marin.tax_repartition_line_5018,marin.tax_1005_ieps_3_0_telecom_601_lmmr,marin.account_601_50_001_lmmr,
marin.tax_repartition_line_5020,marin.tax_1005_ieps_3_0_telecom_601_lmmr,marin.account_601_50_001_lmmr,
marin.tax_repartition_line_5022,marin.tax_1006_ieps_3_0_telecom_602_lmmr,marin.account_602_50_001_lmmr,
marin.tax_repartition_line_5024,marin.tax_1006_ieps_3_0_telecom_602_lmmr,marin.account_602_50_001_lmmr,
marin.tax_repartition_line_5026,marin.tax_1007_ieps_53_0_601_lmmr,marin.account_601_15_001_lmmr,
marin.tax_repartition_line_5028,marin.tax_1007_ieps_53_0_601_lmmr,marin.account_601_15_001_lmmr,
marin.tax_repartition_line_5030,marin.tax_1008_ieps_53_0_602_lmmr,marin.account_602_61_001_lmmr,
marin.tax_repartition_line_5032,marin.tax_1008_ieps_53_0_602_lmmr,marin.account_602_61_001_lmmr,
marin.tax_repartition_line_5034,marin.tax_1009_ieps_8_0_601_lmmr,marin.account_601_15_001_lmmr,
marin.tax_repartition_line_5036,marin.tax_1009_ieps_8_0_601_lmmr,marin.account_601_15_001_lmmr,
marin.tax_repartition_line_5038,marin.tax_1010_ieps_8_0_602_lmmr,marin.account_602_61_001_lmmr,
marin.tax_repartition_line_5040,marin.tax_1010_ieps_8_0_602_lmmr,marin.account_602_61_001_lmmr,
marin.tax_repartition_line_5042,marin.tax_1011_ieps_0_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5044,marin.tax_1011_ieps_0_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5046,marin.tax_1012_ieps_3_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5048,marin.tax_1012_ieps_3_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5050,marin.tax_1013_ieps_6_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5052,marin.tax_1013_ieps_6_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5054,marin.tax_1014_ieps_6_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5056,marin.tax_1014_ieps_6_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5058,marin.tax_1015_ieps_7_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5060,marin.tax_1015_ieps_7_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5062,marin.tax_1016_ieps_7_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5064,marin.tax_1016_ieps_7_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5066,marin.tax_1017_ieps_9_0_lmmr,marin.account_118_03_001_lmmr,
