"id","company_id/id","previous_bom_id/id","product_tmpl_id/id","product_uom_id/id","code","product_qty","type","ready_to_produce","consumption","sequence","active","bom_line_ids/id","bom_line_ids/product_id/id","bom_line_ids/product_uom_id/id","bom_line_ids/product_qty","bom_line_ids/manual_consumption","bom_line_ids/sequence"
"bom_1001","marin_data.company_lmmg","","marin_data.product_template_1201","uom.product_uom_litre","Formulate Alfaspray XM 12x1L Batch 1000L","1000.0","Manufacture this product"," When all components are available","Allowed with warning","15","True","bom_line_1001","marin_data.product_product_1765","uom.product_uom_kgm","604.12","","1"
"","","","","","","","","","","","","bom_line_1002","marin_data.product_product_1728","uom.product_uom_kgm","34.41","True","2"
"","","","","","","","","","","","","bom_line_1003","marin_data.product_product_1725","uom.product_uom_kgm","229.4","True","3"
"","","","","","","","","","","","","bom_line_1004","marin_data.product_product_2080","uom.product_uom_kgm","0.34","True","4"
"","","","","","","","","","","","","bom_line_1005","marin_data.product_product_2081","uom.product_uom_kgm","1.14","True","5"
"","","","","","","","","","","","","bom_line_1006","marin_data.product_product_1200","uom.product_uom_kgm","91.76","True","6"
"","","","","","","","","","","","","bom_line_1007","marin_data.product_product_1727","uom.product_uom_kgm","114.7","True","7"
"","","","","","","","","","","","","bom_line_1008","marin_data.product_product_2121","uom.product_uom_kgm","19.49","True","8"
"","","","","","","","","","","","","bom_line_1009","marin_data.product_product_1726","uom.product_uom_kgm","51.61","True","9"
"","","","","","","","","","","","","bom_line_1010","marin_data.product_product_1868","uom.product_uom_unit","1000.0","","10"
"","","","","","","","","","","","","bom_line_1011","marin_data.product_product_1870","uom.product_uom_unit","1000.0","","11"
"","","","","","","","","","","","","bom_line_1012","marin_data.product_product_1839","uom.product_uom_unit","83.0","","12"
"","","","","","","","","","","","","bom_line_1013","marin_data.product_product_2114","uom.product_uom_unit","1083.0","","13"
"","","","","","","","","","","","","bom_line_1014","marin_data.product_product_2329","uom.product_uom_unit","1.0","","14"
"bom_1002","marin_data.company_lmmg","","marin_data.product_template_1201","uom.product_uom_litre","Formulate Alfaspray XM 12x1L Batch 200L","200.0","Manufacture this product"," When all components are available","Allowed with warning","17","True","bom_line_1015","marin_data.product_product_1765","uom.product_uom_kgm","120.82","","1"
"","","","","","","","","","","","","bom_line_1016","marin_data.product_product_1728","uom.product_uom_kgm","6.88","True","2"
"","","","","","","","","","","","","bom_line_1017","marin_data.product_product_1725","uom.product_uom_kgm","45.88","True","3"
"","","","","","","","","","","","","bom_line_1018","marin_data.product_product_2080","uom.product_uom_kgm","0.07","True","4"
"","","","","","","","","","","","","bom_line_1019","marin_data.product_product_2081","uom.product_uom_kgm","0.22","True","5"
"","","","","","","","","","","","","bom_line_1020","marin_data.product_product_1200","uom.product_uom_kgm","18.35","True","6"
"","","","","","","","","","","","","bom_line_1021","marin_data.product_product_1727","uom.product_uom_kgm","22.94","True","7"
"","","","","","","","","","","","","bom_line_1022","marin_data.product_product_2121","uom.product_uom_kgm","3.89","True","8"
"","","","","","","","","","","","","bom_line_1023","marin_data.product_product_1726","uom.product_uom_kgm","10.32","True","9"
"","","","","","","","","","","","","bom_line_1024","marin_data.product_product_1868","uom.product_uom_unit","1.0","","10"
"","","","","","","","","","","","","bom_line_1025","marin_data.product_product_1870","uom.product_uom_unit","200.0","","11"
"","","","","","","","","","","","","bom_line_1026","marin_data.product_product_1839","uom.product_uom_unit","17.0","","12"
"","","","","","","","","","","","","bom_line_1027","marin_data.product_product_2114","uom.product_uom_unit","217.0","","13"
"","","","","","","","","","","","","bom_line_1028","marin_data.product_product_2329","uom.product_uom_unit","1.0","","14"
"bom_1003","marin_data.company_lmmg","","marin_data.product_template_1202","marin.uom_uom_153","Formulate Alfaspray XM 1x10L Batch 1000L","100.0","Manufacture this product"," When all components are available","Allowed with warning","12","True","bom_line_1029","marin_data.product_product_1728","uom.product_uom_kgm","34.41","True","2"
"","","","","","","","","","","","","bom_line_1030","marin_data.product_product_1725","uom.product_uom_kgm","229.4","True","3"
"","","","","","","","","","","","","bom_line_1031","marin_data.product_product_2080","uom.product_uom_kgm","0.34","True","4"
"","","","","","","","","","","","","bom_line_1032","marin_data.product_product_2081","uom.product_uom_kgm","1.15","True","5"
"","","","","","","","","","","","","bom_line_1033","marin_data.product_product_1200","uom.product_uom_kgm","91.76","True","6"
"","","","","","","","","","","","","bom_line_1034","marin_data.product_product_1727","uom.product_uom_kgm","114.7","True","7"
"","","","","","","","","","","","","bom_line_1035","marin_data.product_product_2121","uom.product_uom_kgm","19.5","True","8"
"","","","","","","","","","","","","bom_line_1036","marin_data.product_product_1726","uom.product_uom_kgm","51.62","True","9"
"","","","","","","","","","","","","bom_line_1037","marin_data.product_product_2113","uom.product_uom_unit","150.0","","10"
"","","","","","","","","","","","","bom_line_1038","marin_data.product_product_1520","uom.product_uom_unit","100.0","","11"
"","","","","","","","","","","","","bom_line_1039","marin_data.product_product_2329","uom.product_uom_unit","1.0","","13"
"bom_1004","marin_data.company_lmmg","","marin_data.product_template_1202","marin.uom_uom_153","Formulate Alfaspray XM 1x10L Batch 200L","20.0","Manufacture this product"," When all components are available","Allowed with warning","14","True","bom_line_1040","marin_data.product_product_1728","uom.product_uom_kgm","6.88","True","2"
"","","","","","","","","","","","","bom_line_1041","marin_data.product_product_1725","uom.product_uom_kgm","45.88","True","3"
"","","","","","","","","","","","","bom_line_1042","marin_data.product_product_2080","uom.product_uom_kgm","0.07","True","4"
"","","","","","","","","","","","","bom_line_1043","marin_data.product_product_2081","uom.product_uom_kgm","0.23","True","5"
"","","","","","","","","","","","","bom_line_1044","marin_data.product_product_1200","uom.product_uom_kgm","18.35","True","6"
"","","","","","","","","","","","","bom_line_1045","marin_data.product_product_1727","uom.product_uom_kgm","22.94","True","7"
"","","","","","","","","","","","","bom_line_1046","marin_data.product_product_2121","uom.product_uom_kgm","3.9","True","8"
"","","","","","","","","","","","","bom_line_1047","marin_data.product_product_1726","uom.product_uom_kgm","10.32","True","9"
"","","","","","","","","","","","","bom_line_1048","marin_data.product_product_2113","uom.product_uom_unit","30.0","","10"
"","","","","","","","","","","","","bom_line_1049","marin_data.product_product_1520","uom.product_uom_unit","20.0","","11"
"","","","","","","","","","","","","bom_line_1050","marin_data.product_product_2329","uom.product_uom_unit","1.0","","13"
"bom_1005","marin_data.company_lmmg","","marin_data.product_template_1239","uom.product_uom_kgm","Refill Asanit 50 XM 8x1Kg 1200","1000.0","Manufacture this product"," When all components are available","Allowed with warning","0","True","bom_line_1051","marin_data.product_product_2028","marin.uom_uom_123","48.0","True","1"
"","","","","","","","","","","","","bom_line_1052","marin_data.product_product_1729","uom.product_uom_unit","1200.0","","2"
"","","","","","","","","","","","","bom_line_1053","marin_data.product_product_1501","uom.product_uom_unit","100.0","","3"
"","","","","","","","","","","","","bom_line_1054","marin_data.product_product_2111","uom.product_uom_unit","100.0","","4"
"","","","","","","","","","","","","bom_line_1055","marin_data.product_product_2329","uom.product_uom_unit","2.0","","6"
"bom_1006","marin_data.company_lmmg","","marin_data.product_template_1492","uom.product_uom_litre","Refill Deprebac XM 12x1L 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","2","True","bom_line_1056","marin_data.product_product_1912","uom.product_uom_litre","1000.0","True","1"
"","","","","","","","","","","","","bom_line_1057","marin_data.product_product_1663","uom.product_uom_unit","1000.0","","4"
"","","","","","","","","","","","","bom_line_1058","marin_data.product_product_1664","uom.product_uom_unit","1000.0","","5"
"","","","","","","","","","","","","bom_line_1059","marin_data.product_product_2094","uom.product_uom_unit","1000.0","","6"
"","","","","","","","","","","","","bom_line_1060","marin_data.product_product_1501","uom.product_uom_unit","83.33","","7"
"","","","","","","","","","","","","bom_line_1061","marin_data.product_product_2103","uom.product_uom_unit","83.33","","8"
"","","","","","","","","","","","","bom_line_1062","marin_data.product_product_2329","uom.product_uom_unit","2.0","","9"
"bom_1007","marin_data.company_lmmg","","marin_data.product_template_1504","uom.product_uom_litre","Refill Distriva XM 12x1L 1000","600.0","Manufacture this product"," When all components are available","Allowed with warning","1","True","bom_line_1063","marin_data.product_product_2184","uom.product_uom_kgm","1000.0","True","1"
"","","","","","","","","","","","","bom_line_1064","marin_data.product_product_1663","uom.product_uom_unit","1000.0","","2"
"","","","","","","","","","","","","bom_line_1065","marin_data.product_product_1664","uom.product_uom_unit","1000.0","","3"
"","","","","","","","","","","","","bom_line_1066","marin_data.product_product_2095","uom.product_uom_unit","1000.0","","4"
"","","","","","","","","","","","","bom_line_1067","marin_data.product_product_1501","uom.product_uom_unit","83.33","","5"
"","","","","","","","","","","","","bom_line_1068","marin_data.product_product_2104","uom.product_uom_unit","83.33","","6"
"","","","","","","","","","","","","bom_line_1069","marin_data.product_product_2329","uom.product_uom_unit","2.0","","7"
"bom_1008","marin_data.company_lmmg","","marin_data.product_template_1506","uom.product_uom_litre","Refill Draisig XM 12x1L 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","3","True","bom_line_1070","marin_data.product_product_1424","uom.product_uom_kgm","1000.0","True","1"
"","","","","","","","","","","","","bom_line_1071","marin_data.product_product_1663","uom.product_uom_unit","1000.0","","4"
"","","","","","","","","","","","","bom_line_1072","marin_data.product_product_1664","uom.product_uom_unit","1000.0","","5"
"","","","","","","","","","","","","bom_line_1073","marin_data.product_product_2096","uom.product_uom_unit","1000.0","","6"
"","","","","","","","","","","","","bom_line_1074","marin_data.product_product_1501","uom.product_uom_unit","83.33","","7"
"","","","","","","","","","","","","bom_line_1075","marin_data.product_product_2105","uom.product_uom_unit","83.33","","8"
"","","","","","","","","","","","","bom_line_1076","marin_data.product_product_2329","uom.product_uom_unit","2.0","","9"
"bom_1009","marin_data.company_lmmg","","marin_data.product_template_1527","uom.product_uom_litre","Formulate Estelis XM 12x1L Batch 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","19","True","bom_line_1077","marin_data.product_product_1765","uom.product_uom_kgm","822.92","","1"
"","","","","","","","","","","","","bom_line_1078","marin_data.product_product_1338","uom.product_uom_kgm","284.0","True","2"
"","","","","","","","","","","","","bom_line_1079","marin_data.product_product_1784","uom.product_uom_kgm","4.54","True","3"
"","","","","","","","","","","","","bom_line_1080","marin_data.product_product_2121","uom.product_uom_kgm","1.82","True","4"
"","","","","","","","","","","","","bom_line_1081","marin_data.product_product_1167","uom.product_uom_kgm","11.36","True","5"
"","","","","","","","","","","","","bom_line_1082","marin_data.product_product_1121","uom.product_uom_kgm","11.36","True","6"
"","","","","","","","","","","","","bom_line_1083","marin_data.product_product_1663","uom.product_uom_unit","1000.0","","7"
"","","","","","","","","","","","","bom_line_1084","marin_data.product_product_1664","uom.product_uom_unit","1000.0","","8"
"","","","","","","","","","","","","bom_line_1085","marin_data.product_product_1124","uom.product_uom_unit","1000.0","","11"
"","","","","","","","","","","","","bom_line_1086","marin_data.product_product_1129","uom.product_uom_unit","83.0","","12"
"","","","","","","","","","","","","bom_line_1087","marin_data.product_product_1501","uom.product_uom_unit","83.0","","13"
"","","","","","","","","","","","","bom_line_1088","marin_data.product_product_2329","uom.product_uom_unit","2.0","","14"
