id,name,parent_id/id
product_category_101,Activos,
product_category_102,FX,
product_category_103,Gastos,
product_category_104,Materia prima,
product_category_105,Nucleo,
product_category_106,"Articulos de promocion, propaganda, publicidad",marin_data.product_category_103
product_category_108,"Formulantes, ingredientes activos",marin_data.product_category_104
product_category_109,Material de empaque,marin_data.product_category_104
product_category_110,Acondicionadores,marin_data.product_category_105
product_category_111,Herbicidas,marin_data.product_category_105
product_category_112,Insecticidas,marin_data.product_category_105
product_category_113,Microbicidas,marin_data.product_category_105
product_category_114,Nutrientes,marin_data.product_category_105
product_category_115,Productos del campo,marin_data.product_category_105
product_category_116,Suministros,marin_data.product_category_105
product_category_117,Coadyuvantes,marin_data.product_category_110
product_category_118,Dispersantes,marin_data.product_category_110
product_category_119,Desecantes,marin_data.product_category_111
product_category_120,Especialidades herbicidas,marin_data.product_category_111
product_category_121,Graminicidas,marin_data.product_category_111
product_category_122,Herbicidas,marin_data.product_category_111
product_category_123,Hormonales,marin_data.product_category_111
product_category_124,Sulfunilureas,marin_data.product_category_111
product_category_125,Triazinas,marin_data.product_category_111
product_category_126,Acaricidas,marin_data.product_category_112
product_category_127,"Carbamatos, organofosforados, piretroides",marin_data.product_category_112
product_category_128,Especialidades insecticidas,marin_data.product_category_112
product_category_129,Granulados,marin_data.product_category_112
product_category_130,ICN y moduladores nicotinicos,marin_data.product_category_112
product_category_131,Insecticidas biologicos y organicos,marin_data.product_category_112
product_category_132,Trips,marin_data.product_category_112
product_category_133,Bactericidas,marin_data.product_category_113
product_category_134,"Benci, imidazoles",marin_data.product_category_113
product_category_135,Biocidas,marin_data.product_category_113
product_category_136,"Carboxamidas, fenilurea",marin_data.product_category_113
product_category_137,Especialidades fungicidas,marin_data.product_category_113
product_category_138,Estrobilurinas,marin_data.product_category_113
product_category_139,Fungicidas biologicos,marin_data.product_category_113
product_category_140,Tizon protectantes,marin_data.product_category_113
product_category_141,Tizon sistemicos,marin_data.product_category_113
product_category_142,Triazoles,marin_data.product_category_113
product_category_143,Bioestimulantes,marin_data.product_category_114
product_category_144,Fertilizantes foliares - macro,marin_data.product_category_114
product_category_145,Fertilizantes foliares - micro,marin_data.product_category_114
product_category_146,Fertilizantes solidos,marin_data.product_category_114
product_category_147,Fertilizantes solubles,marin_data.product_category_114
product_category_148,Llenadores,marin_data.product_category_114
product_category_149,Mejoradores de suelo,marin_data.product_category_114
product_category_150,Pajas,marin_data.product_category_115
product_category_151,Papas,marin_data.product_category_115
product_category_152,Aspersoras y bombas,marin_data.product_category_116
product_category_153,Chicharo semillas,marin_data.product_category_116
product_category_154,Fumigantes,marin_data.product_category_116
product_category_155,Maiz semillas,marin_data.product_category_116
product_category_156,Papa semillas,marin_data.product_category_116
product_category_157,Rodenticidas,marin_data.product_category_116
product_category_158,Tomate semillas,marin_data.product_category_116
product_category_159,Zanahoria semillas,marin_data.product_category_116
