id,name,is_storable,type,standard_price,list_price,volume,weight,base_unit_count,barcode,x_dose_x_ha,active,available_in_pos,can_be_expensed,purchase_ok,sale_ok,is_published,allow_out_of_stock_order,tracking,invoice_policy,bill_policy,manufacturer_pref,uom_id/id,categ_id/id,unspsc_code_id/id,manufacturer_id/id,supplier_taxes_id/id,product_tag_ids/id,pos_categ_ids/id
product_template_1102.product_product_driver_assignment_product_template,Topik Gold + Amber,True,Goods,1.0,0.0,0.0,0.0,1.0,,0.0,,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_139,product_unspsc.unspsc_code_10161900,marin_data.manufacturer_syngenta,,,
product_template_1001,Administrative services,,Service,180.0,1.0,0.0,0.0,1.0,,0.0,True,,True,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin_data.product_category_103,,,,,
product_template_1002,Autopista/Caseta,,Service,1.0,1.0,0.0,0.0,1.0,,0.0,True,,True,,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,product_unspsc.unspsc_code_95111602,,,,
product_template_1003,Autopista/Caseta Acambay,,Service,1.0,21.55,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1004,Autopista/Caseta Acatlan II,,Service,1.0,110.344828,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1005,Autopista/Caseta Amozoc,,Service,1.0,57.758621,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1006,Autopista/Caseta Apaseo,,Service,1.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1007,Autopista/Caseta Atitalaquia,,Service,1.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1008,Autopista/Caseta Atlacomulco,,Service,1.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1009,Autopista/Caseta Atlacomulco Sur,,Service,1.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1010,Autopista/Caseta Atlacomulco-Banobras,,Service,1.0,40.517241,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1011,Autopista/Caseta Autopista Urbana,,Service,1.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1012,Autopista/Caseta Capula Viapass,,Service,1.0,45.69,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1013,Autopista/Caseta Cayaco,,Service,1.0,50.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1014,Autopista/Caseta Cerro Gordo,,Service,1.0,33.62,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1015,Autopista/Caseta Chalco,,Service,1.0,15.517241,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1016,Autopista/Caseta Chamapa,,Service,1.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1017,Autopista/Caseta Chapala,,Service,1.0,62.931034,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1018,Autopista/Caseta Chapultepec,,Service,1.0,0.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1019,Autopista/Caseta Chichimequillas,,Service,1.0,37.93,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1020,Autopista/Caseta Circuito Mexiquense,,Service,1.0,25.862069,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1021,Autopista/Caseta Contepec,,Service,1.0,38.79,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1022,Autopista/Caseta Cuautitlan,,Service,1.0,106.896552,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1023,Autopista/Caseta Ecatepec VIAPASS,,Service,1.0,70.689655,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
product_template_1024,Autopista/Caseta Ecuandureo,,Service,1.0,84.48,0.0,0.0,1.0,,0.0,True,,,True,,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_unit,marin.product_category_highway_toll,,,,,
