id,name,active,manufacturer,is_company,type,company_type,country_id/id
marin.manufacturer_2vs,2VS,True,True,True,Contact,Company,base.mx
marin.manufacturer_4q,4Q,True,True,True,Contact,Company,base.mx
marin.manufacturer_adama,ADAMA,True,True,True,Contact,Company,base.cn
marin.manufacturer_amvac,AMVAC,True,True,True,Contact,Company,base.us
marin.manufacturer_anajalsa,ANAJALSA,True,True,True,Contact,Company,base.mx
marin.manufacturer_acadian_seaplant,Acadian Seaplant,True,True,True,Contact,Company,base.ca
marin.manufacturer_advam,Advam,True,True,True,Contact,Company,base.mx
marin.manufacturer_advan,Advan,True,True,True,Contact,Company,base.it
marin.manufacturer_agricam,Agricam,True,True,True,Contact,Company,base.mx
marin.manufacturer_agroenzymas,Agroenzymas,True,True,True,Contact,Company,base.mx
marin.manufacturer_agrogen,Agrogen,True,True,True,Contact,Company,base.mx
marin.manufacturer_agroscience,Agroscience,True,True,True,Contact,Company,base.mx
marin.manufacturer_agroterrum,Agroterrum,True,True,True,Contact,Company,base.cn
marin.manufacturer_albaugh,Albaugh,True,True,True,Contact,Company,base.us
marin.manufacturer_altiara,Altiara,True,True,True,Contact,Company,base.mx
marin.manufacturer_anasac,Anasac,True,True,True,Contact,Company,base.cl
marin.manufacturer_axeb,Axeb,True,True,True,Contact,Company,base.mx
marin.manufacturer_basf,BASF,True,True,True,Contact,Company,base.de
marin.manufacturer_bayer,Bayer,True,True,True,Contact,Company,base.de
marin.manufacturer_biogamma,Biogamma,True,True,True,Contact,Company,base.mx
marin.manufacturer_brandon,Brandon,True,True,True,Contact,Company,base.ie
marin.manufacturer_cheminova,Cheminova,,True,True,Contact,Company,base.mx
marin.manufacturer_compo,Compo,True,True,True,Contact,Company,base.de
marin.manufacturer_corteva,Corteva,True,True,True,Contact,Company,base.us
marin.manufacturer_cosmocel,Cosmocel,True,True,True,Contact,Company,base.mx
marin.manufacturer_croda,Croda,True,True,True,Contact,Company,base.uk
marin.manufacturer_dragon,Dragon,True,True,True,Contact,Company,base.mx
marin.manufacturer_ducor,Ducor,True,True,True,Contact,Company,base.mx
marin.manufacturer_eurochem,Eurochem,True,True,True,Contact,Company,base.ru
marin.manufacturer_evonik,Evonik,True,True,True,Contact,Company,base.de
marin.manufacturer_fmc,FMC,True,True,True,Contact,Company,base.us
marin.manufacturer_fagro,Fagro,True,True,True,Contact,Company,base.mx
marin.manufacturer_formulabagro,Formulabagro,True,True,True,Contact,Company,base.mx
marin.manufacturer_globe,Globe,True,True,True,Contact,Company,base.mx
marin.manufacturer_gowan,Gowan,True,True,True,Contact,Company,base.us
marin.manufacturer_gruindag,Gruindag,True,True,True,Contact,Company,base.mx
marin.manufacturer_haifa,Haifa,True,True,True,Contact,Company,base.il
marin.manufacturer_helm,Helm,True,True,True,Contact,Company,base.mx
marin.manufacturer_iqc,IQC,True,True,True,Contact,Company,base.mx
marin.manufacturer_isk_bioscience,ISK Bioscience,True,True,True,Contact,Company,base.jp
marin.manufacturer_inagrosa,Inagrosa,True,True,True,Contact,Company,base.es
marin.manufacturer_innovak_global,Innovak Global,True,True,True,Contact,Company,base.mx
marin.manufacturer_inoquos,Inoquos,True,True,True,Contact,Company,base.mx
marin.manufacturer_isaosa,Isaosa,True,True,True,Contact,Company,base.mx
marin.manufacturer_jco,JCO,True,True,True,Contact,Company,base.us
marin.manufacturer_koor,Koor,True,True,True,Contact,Company,base.mx
marin.manufacturer_lamitec,Lamitec,True,True,True,Contact,Company,base.mx
marin.manufacturer_lapisa,Lapisa,True,True,True,Contact,Company,base.mx
marin.manufacturer_lucava,Lucava,True,True,True,Contact,Company,base.mx
marin.manufacturer_mexochem,Mexochem,True,True,True,Contact,Company,base.mx
marin.manufacturer_mezfer,Mezfer,True,True,True,Contact,Company,base.mx
marin.manufacturer_monsanto,Monsanto,True,True,True,Contact,Company,base.us
marin.manufacturer_nichino,Nichino,True,True,True,Contact,Company,base.jp
marin.manufacturer_nova_pack,Nova Pack,True,True,True,Contact,Company,base.mx
marin.manufacturer_nufarm,Nufarm,True,True,True,Contact,Company,base.au
marin.manufacturer_pti,PTI,True,True,True,Contact,Company,base.mx
marin.manufacturer_polaquimia,Polaquimia,True,True,True,Contact,Company,base.mx
marin.manufacturer_quimia,Quimia,True,True,True,Contact,Company,base.mx
marin.manufacturer_quimix,Quimix,True,True,True,Contact,Company,base.mx
marin.manufacturer_rainbow,Rainbow,True,True,True,Contact,Company,base.cn
marin.manufacturer_reinke,Reinke,True,True,True,Contact,Company,base.us
marin.manufacturer_ruhega,Ruhega,True,True,True,Contact,Company,base.mx
marin.manufacturer_sqm,SQM,True,True,True,Contact,Company,base.cl
marin.manufacturer_sagal,Sagal,True,True,True,Contact,Company,base.mx
marin.manufacturer_shindaiwa,Shindaiwa,True,True,True,Contact,Company,base.jp
marin.manufacturer_shokubutsu,Shokubutsu,True,True,True,Contact,Company,base.mx
marin.manufacturer_sicit,Sicit,True,True,True,Contact,Company,base.it
marin.manufacturer_sifatec,Sifatec,True,True,True,Contact,Company,base.mx
marin.manufacturer_summitagro,SummitAgro,True,True,True,Contact,Company,base.mx
marin.manufacturer_syngenta,Syngenta,True,True,True,Contact,Company,base.ch
marin.manufacturer_tradecorp,Tradecorp,True,True,True,Contact,Company,base.es
marin.manufacturer_tridente,Tridente,True,True,True,Contact,Company,base.mx
marin.manufacturer_upl,UPL,True,True,True,Contact,Company,base.in
marin.manufacturer_valent,Valent,True,True,True,Contact,Company,base.jp
marin.manufacturer_velsimex,Velsimex,True,True,True,Contact,Company,base.mx
marin.manufacturer_versa,Versa,True,True,True,Contact,Company,base.mx
marin.manufacturer_xiuman,Xiuman,True,True,True,Contact,Company,base.mx
marin.manufacturer_yara,Yara,True,True,True,Contact,Company,base.no
marin.manufacturer_zoetis,Zoetis,True,True,True,Contact,Company,base.us
