id,company_id/id,location_id/id,storage_category_id/id,active,usage,barcode,removal_priority,name
stock_location_5001,,stock.stock_location_inter_company,,True,Transit,,10,Intercompany transit: LMMG-LMMR
stock_location_5002,,stock.stock_location_inter_company,,True,Transit,,10,Intercompany transit: LMMG-XM
stock_location_5003,,stock.stock_location_inter_company,,True,Transit,,10,Intercompany transit: LMMR-LMMG
stock_location_5004,,stock.stock_location_inter_company,,True,Transit,,10,Intercompany transit: LMMR-XM
stock_location_5005,,stock.stock_location_inter_company,,True,Transit,,10,Intercompany transit: XM-LMMG
stock_location_5006,,stock.stock_location_inter_company,,True,Transit,,10,Intercompany transit: XM-LMMR
stock_location_5007,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: BAL-CDG
stock_location_5008,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: BAL-LOM
stock_location_5009,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: BAL-SJN
stock_location_5010,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: CDG-BAL
stock_location_5011,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: CDG-HMT
stock_location_5012,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: CDG-LOM
stock_location_5013,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: CDG-MICH
stock_location_5014,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: CDG-MOCH
stock_location_5015,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: CDG-OBR
stock_location_5016,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: CDG-SALT
stock_location_5017,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: CDG-SJN
stock_location_5018,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: CDG-SNT
stock_location_5019,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: HMT-CDG
stock_location_5020,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: LOM-BAL
stock_location_5021,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: LOM-CDG
stock_location_5022,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: LOM-SJN
stock_location_5023,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: MICH-CDG
stock_location_5024,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: MOCH-CDG
stock_location_5025,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: MOCH-OBR
stock_location_5026,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: OBR-CDG
stock_location_5027,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: OBR-MOCH
stock_location_5028,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: OBR-SALT
stock_location_5029,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: SALT-CDG
stock_location_5030,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: SJN-BAL
stock_location_5031,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: SJN-CDG
stock_location_5032,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: SJN-LOM
stock_location_5033,marin_data.company_lmmr,,,True,Transit,,10,Interwarehouse transit: SNT-CDG
