id,width,height,packaging_length,base_weight,max_weight,name
stock_package_type_1,310.0,190.0,130.0,0.0,13.0,Carton Box 10x0.050kg
stock_package_type_2,0.0,0.0,0.0,0.0,13.0,Carton Box 10x0.250kg
stock_package_type_3,0.0,0.0,0.0,0.0,0.0,Carton Box 10x0.600L
stock_package_type_4,480.0,290.0,200.0,0.0,13.0,Carton Box 10x1L
stock_package_type_5,400.0,360.0,300.0,0.0,13.0,Carton Box 10x1kg Carial
stock_package_type_6,480.0,270.0,350.0,0.0,13.0,Carton Box 10x1kg Switch
stock_package_type_7,0.0,0.0,0.0,0.0,16.0,Carton Box 12x1L Afalon
stock_package_type_8,370.0,290.0,280.0,0.0,16.0,Carton Box 12x1L standard
stock_package_type_9,275.0,375.0,275.0,0.0,16.0,"Carton Box 12x1kg Gesaprim, Bayfolan - 16x1kg Versa"
stock_package_type_10,400.0,180.0,310.0,0.0,16.0,Carton Box 12x1kg K-fol
stock_package_type_11,510.0,300.0,310.0,0.0,16.0,Carton Box 12x1kg Noster
stock_package_type_12,480.0,240.0,330.0,0.0,16.0,Carton Box 12x1kg Nufarm
stock_package_type_13,570.0,290.0,410.0,0.0,21.0,Carton Box 16x1L Versa
stock_package_type_14,290.0,120.0,240.0,0.0,6.0,Carton Box 20x0.100L
stock_package_type_15,0.0,0.0,0.0,0.0,6.0,Carton Box 20x0.200L standard
stock_package_type_16,0.0,0.0,0.0,0.0,0.0,Carton Box 20x0.250L standard
stock_package_type_17,0.0,0.0,0.0,0.0,0.0,Carton Box 20x0.500L standard
stock_package_type_18,0.0,0.0,0.0,20.0,20.0,Carton Box 20x1kg Antracol
stock_package_type_19,360.0,150.0,270.0,0.0,7.0,Carton Box 21x0.250L standard
stock_package_type_20,0.0,0.0,0.0,0.0,7.0,Carton Box 24x0.250L standard
stock_package_type_21,0.0,0.0,0.0,0.0,30.0,Carton Box 24x1kg
stock_package_type_22,0.0,0.0,0.0,0.0,0.0,Carton Box 2x1 packages
stock_package_type_23,360.0,390.0,250.0,0.0,26.0,Carton Box 2x10L standard
stock_package_type_24,0.0,0.0,0.0,0.0,0.0,Carton Box 4x5L
stock_package_type_25,360.0,350.0,360.0,0.0,26.0,Carton Box 4x5L Malathion
stock_package_type_26,0.0,0.0,0.0,0.0,0.0,Carton Box 4x5kg
stock_package_type_27,0.0,0.0,0.0,0.0,1.0,Carton Box 60x0.0150kg Actigard
stock_package_type_28,560.0,280.0,280.0,0.0,20.0,Carton Box 64x0.250L
stock_package_type_29,310.0,230.0,230.0,0.0,4.0,Carton Box 6x1pz Amistar - 12x0.500L standard
stock_package_type_30,0.0,0.0,0.0,0.0,4.0,Carton Box 6x1pz Minecto
stock_package_type_31,0.0,0.0,0.0,0.0,13.0,Carton Box 6x2kg Aliette
stock_package_type_32,0.0,0.0,0.0,0.0,9.0,Carton Box 8x1kg standard
stock_package_type_33,340.0,340.0,300.0,0.0,16.0,Carton box 12x1kg Captan/Moncut
stock_package_type_34,0.0,0.0,0.0,0.0,250.0,Drum 208L
stock_package_type_35,0.0,0.0,0.0,26.0,0.0,Keg 25kg
stock_package_type_36,0.0,0.0,0.0,0.0,26.0,Plastic Bucket 18L standard
stock_package_type_37,0.0,0.0,0.0,0.0,26.0,Plastic Carboy 1x20L standard
stock_package_type_38,0.0,0.0,0.0,0.0,10.0,Sack 10kg
stock_package_type_39,0.0,0.0,0.0,0.0,15.0,Sack 15kg
stock_package_type_40,0.0,0.0,0.0,0.0,0.0,Sack 20kg
stock_package_type_41,0.0,0.0,0.0,20.0,20.0,Sack 20kg
stock_package_type_42,0.0,0.0,0.0,0.0,0.0,Sack 25kg
stock_package_type_43,0.0,0.0,0.0,0.0,50.0,Sack 50kg
stock_package_type_44,0.0,0.0,0.0,0.0,0.0,Sack 7.5kg
stock_package_type_45,1100.0,1100.0,1100.0,1100.0,1200.0,Totem 1000L
stock_package_type_46,0.0,0.0,0.0,0.0,1200.0,Barrel 200L
stock_package_type_47,0.0,0.0,0.0,0.0,1200.0,Carton Box 48x0.250L standard
