id,name,sequence,active,sale_selectable,company_id/id
stock_route_5001,Intercompany transfer in 2 steps,51,True,,
stock_route_5002,Interwarehouse transfer in 2 steps (ship + deliver) 3P,49,True,,marin_data.company_lmmr
stock_route_5003,Interwarehouse transfer in 2 steps (ship + deliver) we ship,48,True,,marin_data.company_lmmr
stock_route_5004,BALDERAS: Deliver in 2 steps (ship + deliver) we ship,31,True,,marin_data.company_lmmr
stock_route_5005,CODAGEM: Deliver in 1 step (deliver),26,True,True,marin_data.company_lmmr
stock_route_5006,CODAGEM: Deliver in 2 steps (ship + deliver) 3P,28,True,True,marin_data.company_lmmr
stock_route_5007,CODAGEM: Deliver in 2 steps (ship + deliver) we ship,27,,True,marin_data.company_lmmr
stock_route_5008,CODAGEM: Deliver in 3 steps (ship + store + OBR: deliver) we ship,29,True,True,marin_data.company_lmmr
stock_route_5009,HUAMANTLA: Deliver in 2 steps (ship + deliver) we ship,45,True,,marin_data.company_lmmr
stock_route_5010,LOMITA: Deliver in 2 steps (ship + deliver) we ship,35,True,,marin_data.company_lmmr
stock_route_5011,MICHOCAN: Deliver in 2 steps (ship + deliver) we ship,41,True,,marin_data.company_lmmr
stock_route_5012,MOCHIS: Deliver in 2 steps (ship + deliver) we ship,43,True,,marin_data.company_lmmr
stock_route_5013,OBREGON: Deliver in 2 steps (ship + deliver) we ship,37,True,,marin_data.company_lmmr
stock_route_5014,SALTILLO: Deliver in 2 steps (ship + deliver) we ship,39,True,,marin_data.company_lmmr
stock_route_5015,SAN JUAN: Deliver in 2 steps (ship + deliver) we ship,33,True,,marin_data.company_lmmr
