id,name,active,sequence,procure_method,auto,group_propagation_option,action,route_id/id,company_id/id,warehouse_id/id,picking_type_id/id,location_src_id/id,location_dest_id/id
stock_rule_5001,Intercompany transfers: LMMG -> CDG,True,20,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5001,marin_data.company_lmmr,,marin_data.picking_type_1037,marin_data.stock_location_5001,marin_data.stock_location_1026
stock_rule_5002,Intercompany transfers: LMMR -> LMMG,True,20,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5001,marin_data.company_lmmg,,marin_data.picking_type_41,marin_data.stock_location_5003,marin_data.stock_location_51
stock_rule_5003,Interwarehouse transit: BAL-CDG,True,21,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5003,marin_data.company_lmmr,,marin_data.picking_type_1037,marin_data.stock_location_5007,marin_data.stock_location_1026
stock_rule_5004,Interwarehouse transit: BAL-SJN,True,21,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5003,marin_data.company_lmmr,,marin_data.picking_type_1025,marin_data.stock_location_5009,marin_data.stock_location_1018
stock_rule_5005,Interwarehouse transit: CDG-BAL,True,22,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5003,marin_data.company_lmmr,,marin_data.picking_type_1013,marin_data.stock_location_5010,marin_data.stock_location_1010
stock_rule_5006,Interwarehouse transit: CDG-CDO,True,23,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5003,marin_data.company_lmmr,,marin_data.picking_type_1049,marin_data.stock_location_5015,marin_data.stock_location_1034
stock_rule_5007,Interwarehouse transit: CDG-HMT,True,24,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5003,marin_data.company_lmmr,,marin_data.picking_type_1109,marin_data.stock_location_5011,marin_data.stock_location_1074
stock_rule_5008,Interwarehouse transit: CDG-LMO,True,25,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5003,marin_data.company_lmmr,,marin_data.picking_type_1097,marin_data.stock_location_5014,marin_data.stock_location_1066
stock_rule_5009,Interwarehouse transit: CDG-LOM,True,26,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5003,marin_data.company_lmmr,,marin_data.picking_type_1061,marin_data.stock_location_5012,marin_data.stock_location_1042
stock_rule_5010,Interwarehouse transit: CDG-MICH,True,27,Take From Stock,Manual Operation,Propagate,Push To,marin_data.stock_route_5003,marin_data.company_lmmr,,marin_data.picking_type_1073,marin_data.stock_location_5013,marin_data.stock_location_1050
