id,name,relative_uom_id/id,unspsc_code_id/id,package_type_id/id,relative_factor,active
marin_data.uom_101,Activity,,product_unspsc.unspsc_code_ACT,,1.0,True
marin_data.uom_102,Service unit,,product_unspsc.unspsc_code_E48,,1.0,True
marin_data.uom_103,Shipment,,product_unspsc.unspsc_code_SX,,1.0,True
marin_data.uom_104,Box,uom.product_uom_unit,product_unspsc.unspsc_code_XBX,,1.0,True
marin_data.uom_105,Mutuamente definido,uom.product_uom_unit,,,1.0,True
marin_data.uom_106,Not available,uom.product_uom_unit,product_unspsc.unspsc_code_XNA,,1.0,True
marin_data.uom_107,One,uom.product_uom_unit,product_unspsc.unspsc_code_C62,,1.0,True
marin_data.uom_108,0.100L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,100.0,True
marin_data.uom_109,0.125L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,125.0,True
marin_data.uom_110,0.150L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,150.0,True
marin_data.uom_111,0.200L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,200.0,True
marin_data.uom_112,0.250L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,250.0,True
marin_data.uom_113,0.300L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,300.0,True
marin_data.uom_114,0.330L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,330.0,True
marin_data.uom_115,0.350L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,350.0,True
marin_data.uom_116,0.450L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,450.0,True
marin_data.uom_117,0.500L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,500.0,True
marin_data.uom_118,0.600L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,600.0,True
marin_data.uom_119,0.900L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,900.0,True
marin_data.uom_120,0.950L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,950.0,True
marin_data.uom_121,0.960L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,960.0,True
marin_data.uom_122,0.970L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,970.0,True
marin_data.uom_123,0.975L,uom.product_uom_milliliter,product_unspsc.unspsc_code_EA,,975.0,True
marin_data.uom_124,1.6L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,1.6,True
marin_data.uom_125,4L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,4.0,True
marin_data.uom_126,5L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,5.0,True
marin_data.uom_127,9.5L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,9.5,True
marin_data.uom_128,10L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,10.0,True
marin_data.uom_129,18L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,18.0,True
marin_data.uom_130,19L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,19.0,True
marin_data.uom_131,20L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,20.0,True
marin_data.uom_132,200L,uom.product_uom_litre,product_unspsc.unspsc_code_EA,,200.0,True
marin_data.uom_133,1000L,uom.product_uom_cubic_meter,product_unspsc.unspsc_code_EA,,1.0,True
marin_data.uom_134,0.010kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,10.0,True
marin_data.uom_135,0.015kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,15.0,True
marin_data.uom_136,0.060kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,60.0,True
marin_data.uom_137,0.100kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,100.0,True
marin_data.uom_138,0.120kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,120.0,True
marin_data.uom_139,0.130kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,130.0,True
marin_data.uom_140,0.140kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,140.0,True
marin_data.uom_141,0.150kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,150.0,True
marin_data.uom_142,0.160kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,160.0,True
marin_data.uom_143,0.200kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,200.0,True
marin_data.uom_144,0.212kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,212.0,True
marin_data.uom_145,0.250kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,250.0,True
marin_data.uom_146,0.300kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,300.0,True
marin_data.uom_147,0.340kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,340.0,True
marin_data.uom_148,0.500kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,500.0,True
marin_data.uom_149,0.600kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,600.0,True
marin_data.uom_150,0.650kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,650.0,True
marin_data.uom_151,0.737kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,737.0,True
marin_data.uom_152,0.750kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,750.0,True
marin_data.uom_153,0.800kg,uom.product_uom_gram,product_unspsc.unspsc_code_EA,,800.0,True
marin_data.uom_154,2kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,2.0,True
marin_data.uom_155,3.2kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,3.2,True
marin_data.uom_156,5kg,uom.product_uom_kgm,product_unspsc.unspsc_code_EA,,5.0,True
